record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,1650.0,1700.0,1650.0,1695.45,2.75,110,186500,186500
2024-11-21,1650.0,1650.0,1650.0,1650.0,0.0,13,21450,21450
2024-11-18,1650.0,1650.0,1650.0,1650.0,0.0,190,313500,313500
2024-11-15,1650.0,1650.0,1650.0,1650.0,0.0,100,165000,165000
2024-10-21,1650.0,1650.0,1650.0,1650.0,-2.94,208,343200,343200
2024-10-18,1700.0,1700.0,1700.0,1700.0,0.0,2,3400,3400
2024-10-10,1700.0,1700.0,1700.0,1700.0,-2.86,200,340000,340000
2024-10-09,1750.0,1750.0,1750.0,1750.0,-2.78,16,28000,28000
2024-10-02,1800.0,1800.0,1800.0,1800.0,0.0,100,180000,180000
2024-09-24,1800.0,1800.0,1800.0,1800.0,0.0,16,28800,28800
2024-09-23,1800.0,1800.0,1800.0,1800.0,1.69,94,169200,169200
2024-09-20,1770.0,1770.0,1770.0,1770.0,4.12,135,238950,238950
2024-09-19,1700.0,1700.0,1700.0,1700.0,3.28,200,340000,340000
2024-09-18,1646.0,1646.0,1646.0,1646.0,0.0,10,16460,16460
2024-09-17,1646.0,1646.0,1646.0,1646.0,0.0,265,436190,436190
2024-09-13,1646.0,1646.0,1646.0,1646.0,2.88,120,197520,197520
2024-08-26,1600.0,1600.0,1600.0,1600.0,-0.62,150,240000,240000
2024-08-23,1610.0,1610.0,1610.0,1610.0,-2.37,83,133630,133630
2024-08-14,1649.0,1649.0,1649.0,1649.0,9.57,15,24735,24735
2024-08-13,1505.0,1505.0,1505.0,1505.0,0.33,100,150500,150500
2024-08-07,1500.0,1500.0,1500.0,1500.0,0.0,200,300000,300000
2024-07-30,1500.0,1500.0,1500.0,1500.0,0.0,240,360000,360000
2024-07-29,1500.0,1500.0,1500.0,1500.0,0.0,600,900000,900000
2024-07-12,1500.0,1500.0,1500.0,1500.0,0.0,368,552000,552000
2024-07-10,1500.0,1500.0,1500.0,1500.0,-6.25,600,900000,900000
2024-06-27,1600.0,1600.0,1600.0,1600.0,-5.33,200,320000,320000
2024-05-29,1690.0,1690.0,1690.0,1690.0,0.12,50,84500,84500
2024-05-17,1688.0,1688.0,1688.0,1688.0,-0.53,76,128288,128288
2024-05-14,1697.0,1697.0,1697.0,1697.0,41.42,50,84850,84850
2024-02-05,1200.0,1200.0,1200.0,1200.0,0.0,153,183600,183600
2024-01-31,1200.0,1200.0,1200.0,1200.0,20.0,295,354000,354000
2023-12-19,1000.0,1000.0,1000.0,1000.0,0.0,100,100000,100000
2023-11-29,1000.0,1000.0,1000.0,1000.0,0.0,600,600000,600000
2023-11-13,1000.0,1000.0,1000.0,1000.0,0.0,260,260000,260000
2023-11-09,1000.0,1000.0,1000.0,1000.0,0.0,200,200000,200000
2023-10-05,1000.0,1000.0,1000.0,1000.0,15.61,100,100000,100000
2023-07-11,865.0,865.0,865.0,865.0,1.76,70,60550,60550
2023-07-06,850.0,850.0,850.0,850.0,17.73,100,85000,85000
2023-02-14,722.0,722.0,722.0,722.0,-14.05,505,364610,364610
2023-01-20,840.0,840.0,840.0,840.0,0.0,95,79800,79800
2022-12-23,840.0,840.0,840.0,840.0,2.94,120,100800,100800
2022-12-16,816.0,816.0,816.0,816.0,0.12,400,326400,326400
2022-11-23,815.0,815.0,815.0,815.0,0.0,200,163000,163000
2022-07-22,815.0,815.0,815.0,815.0,1.24,10,8150,8150
2022-05-31,805.0,805.0,805.0,805.0,2.94,50,40250,40250
2022-05-12,782.0,782.0,782.0,782.0,2.89,10,7820,7820
2022-03-18,760.0,760.0,760.0,760.0,1.2,550,418000,418000
2022-03-16,751.0,751.0,751.0,751.0,0.13,1100,826100,826100
2022-03-07,750.0,750.0,750.0,750.0,0.0,100,75000,75000
2022-02-24,750.0,750.0,750.0,750.0,2.46,120,90000,90000
2022-02-21,732.0,732.0,732.0,732.0,2.95,30,21960,21960
2022-01-17,711.0,711.0,711.0,711.0,0.99,30,21330,21330
2022-01-13,704.0,704.0,704.0,704.0,0.57,25,17600,17600
2021-11-17,700.0,700.0,700.0,700.0,0.0,50,35000,35000
2021-10-27,700.0,700.0,700.0,700.0,0.0,61,42700,42700
2021-10-22,700.0,700.0,700.0,700.0,0.0,30,21000,21000
2021-09-27,700.0,700.0,700.0,700.0,2.79,61,42700,42700
2021-09-21,681.0,681.0,681.0,681.0,4.45,50,34050,34050
2021-07-27,652.0,652.0,652.0,652.0,-1.36,50,32600,32600
2021-06-30,661.0,661.0,661.0,661.0,4.42,50,33050,33050
2021-05-14,633.0,633.0,633.0,633.0,-15.6,100,63300,63300
2021-05-05,750.0,750.0,750.0,750.0,0.0,50,37500,37500
2021-04-28,750.0,750.0,750.0,750.0,0.0,120,90000,90000
2021-04-23,750.0,750.0,750.0,750.0,0.0,50,37500,37500
2021-03-25,750.0,750.0,750.0,750.0,0.0,450,337500,337500
2021-03-12,750.0,750.0,750.0,750.0,0.0,50,37500,37500
2021-03-01,750.0,750.0,750.0,750.0,2.6,170,127500,127500
2021-02-23,731.0,731.0,731.0,731.0,4.28,168,122808,122808
2021-02-16,701.0,701.0,701.0,701.0,1.59,50,35050,35050
2021-01-21,690.0,690.0,690.0,690.0,0.0,129,89010,89010
2021-01-20,690.0,690.0,690.0,690.0,0.0,129,89010,89010
2021-01-18,690.0,690.0,690.0,690.0,1.62,40,27600,27600
2021-01-05,679.0,679.0,679.0,679.0,0.0,22,14938,14938
