record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,31099.0,31099.0,30400.0,30799.74,2.71,722,22237409,22237409
2025-01-16,30200.0,30500.0,29601.0,29987.45,2.38,863,25879169,25879169
2025-01-15,29700.0,29700.0,29190.0,29289.05,1.89,821,24046309,24046309
2025-01-14,29200.0,29200.0,28700.0,28744.9,0.51,788,22650980,22650980
2025-01-13,28600.0,28600.0,28557.0,28598.78,0.01,733,20962906,20962906
2025-01-10,28600.0,29000.0,28550.0,28596.28,0.4,1318,37689897,44814897
2025-01-09,28513.0,28999.0,28400.0,28481.61,0.49,764,21759950,21759950
2025-01-08,28400.0,28400.0,28300.0,28342.55,0.18,47,1332100,1332100
2025-01-03,28300.0,28300.0,28285.0,28291.11,0.02,329,9307775,9307775
2025-01-02,28300.0,28300.0,28250.0,28286.0,0.13,361,10211245,10211245
2024-12-30,28250.0,28250.0,28250.0,28250.0,-0.16,180,5085000,5085000
2024-12-27,28299.0,28300.0,28290.0,28295.92,-0.03,523,14798767,14798767
2024-12-26,28299.0,28311.0,28200.0,28303.56,0.0,650,18397312,18397312
2024-12-25,28310.0,28500.0,28300.0,28303.43,0.08,582,16472599,16472599
2024-12-24,28350.0,28350.0,28200.0,28280.9,-0.11,460,13009214,13009214
2024-12-23,28300.0,28360.0,28050.0,28312.51,-0.19,203,5747440,5747440
2024-12-20,28350.0,28520.0,28349.0,28366.49,0.09,683,19374315,19374315
2024-12-19,28250.0,29000.0,28250.0,28342.11,0.36,503,14256081,14256081
2024-12-18,28251.0,28251.0,28200.0,28241.78,-0.01,484,13669020,13669020
2024-12-17,28250.0,28250.0,28230.0,28244.91,0.11,369,10422370,10422370
2024-12-16,28250.0,28250.0,28198.0,28213.17,0.37,580,16363637,16363637
2024-12-13,28150.0,28200.0,28100.0,28110.06,0.29,300,8433017,8433017
2024-12-12,28001.0,28100.0,27950.0,28030.17,0.6,822,23040796,23040796
2024-12-11,27979.0,27980.0,27800.0,27863.62,0.02,629,17526215,17526215
2024-12-10,27850.0,27992.0,27800.0,27859.13,-0.47,103,2869490,2869490
2024-12-06,27994.0,28200.0,27500.0,27991.95,4.82,205,5738350,5738350
2024-12-05,27499.0,27499.0,26200.0,26704.83,4.6,358,9560330,9560330
2024-12-04,25900.0,25900.0,25402.0,25529.34,0.45,242,6178100,6178100
2024-12-03,25550.0,25550.0,25379.0,25415.78,0.14,258,6557272,6557272
2024-12-02,25400.0,25499.0,25300.0,25379.05,0.2,286,7258407,7258407
2024-11-29,25300.0,25370.0,25300.0,25327.56,0.32,465,11777315,11777315
2024-11-28,25290.0,25290.0,25215.0,25247.73,0.11,306,7725805,7725805
2024-11-27,25244.0,25250.0,25200.0,25219.04,0.06,193,4867275,4867275
2024-11-26,25205.0,25205.0,25200.0,25202.82,-0.06,333,8392540,8392540
2024-11-25,25200.0,25300.0,25150.0,25218.05,0.18,577,14550816,14550816
2024-11-22,25100.0,25200.0,25100.0,25172.12,-0.1,286,7199226,7199226
2024-11-21,25190.0,25200.0,25190.0,25198.46,0.15,209,5266479,5266479
2024-11-20,25198.0,25300.0,25000.0,25159.51,0.45,552,13888050,13888050
2024-11-19,25100.0,25170.0,25000.0,25047.25,0.41,364,9117198,9117198
2024-11-18,25000.0,25000.0,24899.0,24943.9,2.65,344,8580703,8580703
2024-11-15,24350.0,24350.0,24030.0,24300.32,1.29,132,3207642,7629322
2024-11-14,24000.0,24000.0,23950.0,23991.57,0.29,408,9788559,13733409
2024-11-13,24000.0,24000.0,23889.0,23922.38,0.54,175,4186417,8110017
2024-11-12,23820.0,23821.0,23700.0,23793.41,1.54,485,11539805,15449805
2024-11-11,23889.0,23889.0,23200.0,23432.42,1.03,88,2062053,2062053
2024-11-08,23299.0,23400.0,23010.0,23193.84,0.85,64,1484406,1484406
2024-11-07,23000.0,23000.0,22990.0,22997.62,2.28,130,2989691,2989691
2024-11-06,22500.0,22502.0,22301.0,22484.06,0.83,187,4204519,4204519
2024-11-05,22300.0,22300.0,22298.0,22299.74,0.03,3434,76577300,76577300
2024-11-04,22300.0,22300.0,22250.0,22293.98,-0.1,408,9095944,9095944
2024-11-01,22300.0,22351.0,22300.0,22316.35,0.11,712,15889243,26615543
2024-10-31,22250.0,22310.0,22250.0,22291.33,0.19,218,4859510,4859510
2024-10-30,22250.0,22250.0,22250.0,22250.0,-0.01,86,1913500,1913500
2024-10-29,22200.0,22260.0,22200.0,22252.0,-0.07,125,2781500,2781500
2024-10-28,22300.0,22350.0,22250.0,22266.81,0.18,111,2471616,2471616
2024-10-25,22200.0,22251.0,22200.0,22225.74,-0.08,339,7534525,7534525
2024-10-24,22250.0,22251.0,22200.0,22243.51,-0.2,359,7985420,7985420
2024-10-22,22250.0,22500.0,22200.0,22288.64,0.06,78,1738514,1738514
2024-10-21,22250.0,22300.0,22200.0,22274.43,0.09,298,6637780,6637780
2024-10-18,22250.0,22300.0,22249.0,22254.15,0.04,222,4940421,4940421
2024-10-17,22250.0,22296.0,22160.0,22246.02,0.47,317,7051987,7051987
2024-10-16,22295.0,22295.0,22100.0,22140.92,-0.45,74,1638428,1638428
2024-10-15,22101.0,22300.0,22100.0,22240.91,-0.27,92,2046164,2046164
2024-10-14,22300.0,22350.0,22300.0,22301.63,-0.21,195,4348818,4348818
2024-10-10,22350.0,22400.0,22300.0,22347.5,0.27,177,3955508,3955508
2024-10-09,22300.0,22300.0,22250.0,22286.23,0.15,61,1359460,1359460
2024-10-08,22300.0,22300.0,22155.0,22251.97,0.21,77,1713402,1713402
2024-10-07,22150.0,22250.0,22150.0,22204.41,-0.17,78,1731944,1731944
2024-10-04,22201.0,22250.0,22201.0,22242.51,-0.12,72,1601461,1601461
2024-10-03,22250.0,22300.0,22250.0,22269.75,-0.12,119,2650100,2650100
2024-10-02,22300.0,22350.0,22250.0,22296.09,0.01,225,5016620,5016620
2024-10-01,22250.0,22300.0,22250.0,22294.28,-0.03,128,2853668,2853668
