record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-16,12000.0,12000.0,12000.0,12000.0,0.0,5,60000,60000
2024-09-17,12000.0,12000.0,12000.0,12000.0,0.0,10,120000,120000
2024-09-13,12000.0,12000.0,12000.0,12000.0,0.0,10,120000,120000
2024-08-14,12000.0,12000.0,12000.0,12000.0,0.0,39,468000,468000
2024-07-02,12000.0,12000.0,12000.0,12000.0,0.0,13,156000,156000
2024-07-01,12000.0,12000.0,12000.0,12000.0,0.0,6,72000,72000
2024-06-12,12000.0,12000.0,12000.0,12000.0,0.0,96,1152000,1152000
2024-02-26,12000.0,12000.0,12000.0,12000.0,0.0,41,492000,492000
2023-11-13,12000.0,12000.0,12000.0,12000.0,0.0,2,24000,24000
2023-11-10,12000.0,12000.0,12000.0,12000.0,0.0,98,1176000,1176000
2023-11-09,12000.0,12000.0,12000.0,12000.0,0.0,20,240000,240000
2023-11-06,12000.0,12000.0,12000.0,12000.0,0.0,99,1188000,1188000
2023-10-31,12000.0,12000.0,12000.0,12000.0,0.0,2,24000,24000
2023-10-26,12000.0,12000.0,12000.0,12000.0,0.0,136,1632000,1632000
2023-10-20,12000.0,12000.0,12000.0,12000.0,0.0,92,1104000,1104000
2023-10-19,12000.0,12000.0,12000.0,12000.0,0.0,101,1212000,1212000
2023-10-18,12000.0,12000.0,12000.0,12000.0,0.0,142,1704000,1704000
2023-10-17,12000.0,12000.0,12000.0,12000.0,0.0,40,480000,480000
2023-10-16,12000.0,12000.0,12000.0,12000.0,0.0,50,600000,600000
2023-10-03,12000.0,12000.0,12000.0,12000.0,0.0,70,840000,840000
2023-09-25,12000.0,12000.0,12000.0,12000.0,0.0,98,1176000,1176000
2023-09-21,12000.0,12000.0,12000.0,12000.0,0.0,144,1728000,1728000
2023-09-19,12000.0,12000.0,12000.0,12000.0,0.0,65,780000,780000
2023-09-18,12000.0,12000.0,12000.0,12000.0,0.0,8,96000,96000
2023-09-14,12000.0,12000.0,12000.0,12000.0,0.0,2,24000,24000
2023-09-13,12000.0,12000.0,12000.0,12000.0,0.0,301,3612000,3612000
2023-09-12,12000.0,12000.0,12000.0,12000.0,0.0,108,1296000,1296000
2023-09-06,12000.0,12000.0,12000.0,12000.0,0.0,81,972000,972000
2023-08-25,12000.0,12000.0,12000.0,12000.0,0.0,68,816000,816000
2023-08-15,12000.0,12000.0,12000.0,12000.0,0.0,2,24000,24000
2023-08-14,12000.0,12000.0,12000.0,12000.0,0.0,28,336000,336000
2023-08-11,12000.0,12000.0,12000.0,12000.0,0.0,79,948000,948000
2023-08-10,12000.0,12000.0,12000.0,12000.0,0.0,20,240000,240000
2023-07-25,12000.0,12000.0,12000.0,12000.0,0.0,95,1140000,1140000
2023-07-18,12000.0,12000.0,12000.0,12000.0,0.0,18,216000,216000
2023-07-17,12000.0,12000.0,12000.0,12000.0,0.0,30,360000,360000
2023-07-04,12000.0,12000.0,12000.0,12000.0,0.0,20,240000,240000
2023-07-03,12000.0,12000.0,12000.0,12000.0,0.0,50,600000,600000
2023-06-05,12000.0,12000.0,12000.0,12000.0,0.0,54,648000,648000
2023-06-01,12000.0,12000.0,12000.0,12000.0,0.0,40,480000,480000
2023-05-25,12000.0,12000.0,12000.0,12000.0,0.0,31,372000,372000
2023-05-16,12000.0,12000.0,12000.0,12000.0,0.0,50,600000,600000
2023-05-15,12000.0,12000.0,12000.0,12000.0,0.0,35,420000,420000
2023-05-02,12000.0,12000.0,12000.0,12000.0,0.0,70,840000,840000
2023-04-26,12000.0,12000.0,12000.0,12000.0,0.0,20,240000,240000
2023-04-20,12000.0,12000.0,12000.0,12000.0,0.0,65,780000,780000
2023-03-31,12000.0,12000.0,12000.0,12000.0,0.0,16,192000,192000
2023-03-17,12000.0,12000.0,12000.0,12000.0,0.0,5,60000,60000
2023-03-07,12000.0,12000.0,12000.0,12000.0,0.0,5,60000,60000
2023-01-16,12000.0,12000.0,12000.0,12000.0,0.0,30,360000,360000
2023-01-10,12000.0,12000.0,12000.0,12000.0,0.0,22,264000,264000
2022-12-07,12000.0,12000.0,12000.0,12000.0,0.0,6,72000,72000
2022-12-06,12000.0,12000.0,12000.0,12000.0,0.0,224,2688000,2688000
2022-11-28,12000.0,12000.0,12000.0,12000.0,0.0,73,876000,876000
2022-11-21,12000.0,12000.0,12000.0,12000.0,0.0,5,60000,60000
2022-11-16,12000.0,12000.0,12000.0,12000.0,0.0,224,2688000,2688000
2022-11-03,12000.0,12000.0,12000.0,12000.0,0.0,90,1080000,1080000
2022-11-02,12000.0,12000.0,12000.0,12000.0,0.0,97,1164000,1164000
2022-09-15,12000.0,12000.0,12000.0,12000.0,0.0,76,912000,912000
2022-09-13,12000.0,12000.0,12000.0,12000.0,0.0,79,948000,948000
2022-09-05,12000.0,12000.0,12000.0,12000.0,0.0,97,1164000,1164000
2022-07-27,12000.0,12000.0,12000.0,12000.0,0.0,20,240000,240000
2022-06-15,12000.0,12000.0,12000.0,12000.0,0.0,3,36000,36000
2022-05-25,12000.0,12000.0,12000.0,12000.0,0.0,2,24000,24000
2022-04-11,12000.0,12000.0,12000.0,12000.0,-0.08,5,60000,60000
2022-04-06,12010.0,12010.0,12010.0,12010.0,0.0,1,12010,12010
2022-03-23,12010.0,12010.0,12010.0,12010.0,0.08,9,108090,108090
2022-01-12,12000.0,12000.0,12000.0,12000.0,0.0,7,84000,84000
2021-12-16,12000.0,12000.0,12000.0,12000.0,0.0,94,1128000,1128000
2021-12-15,12000.0,12000.0,12000.0,12000.0,-7.69,1,12000,12000
2021-11-30,13000.0,13000.0,13000.0,13000.0,0.0,2,26000,26000
2021-11-15,13000.0,13000.0,13000.0,13000.0,0.0,10,130000,130000
2021-10-28,13000.0,13000.0,13000.0,13000.0,0.0,3,39000,39000
2021-10-27,13000.0,13000.0,13000.0,13000.0,0.0,100,1300000,1300000
2021-09-24,13000.0,13000.0,13000.0,13000.0,0.0,2,26000,26000
2021-09-09,13000.0,13000.0,13000.0,13000.0,0.0,2,26000,26000
2021-08-20,13000.0,13000.0,13000.0,13000.0,0.0,30,390000,390000
2021-07-21,13000.0,13000.0,13000.0,13000.0,0.0,5,65000,65000
2021-07-13,13000.0,13000.0,13000.0,13000.0,0.0,3,39000,39000
2021-07-12,13000.0,13000.0,13000.0,13000.0,0.0,36,468000,468000
2021-07-07,13000.0,13000.0,13000.0,13000.0,0.0,2,26000,26000
2021-06-23,13000.0,13000.0,13000.0,13000.0,0.0,39,507000,507000
2021-06-15,13000.0,13000.0,13000.0,13000.0,0.0,4,52000,52000
2021-06-03,13000.0,13000.0,13000.0,13000.0,0.0,1,13000,13000
2021-05-06,13000.0,13000.0,13000.0,13000.0,0.0,85,1105000,1105000
2021-04-27,13000.0,13000.0,13000.0,13000.0,0.0,5,65000,65000
2021-04-12,13000.0,13000.0,13000.0,13000.0,0.0,1,13000,13000
2021-03-25,13000.0,13000.0,13000.0,13000.0,0.0,10,130000,130000
2021-03-24,13000.0,13000.0,13000.0,13000.0,0.0,18,234000,234000
2021-03-22,13000.0,13000.0,13000.0,13000.0,0.0,31,403000,403000
2021-03-11,13000.0,13000.0,13000.0,13000.0,0.0,25,325000,325000
2021-02-03,13000.0,13000.0,13000.0,13000.0,0.0,11,143000,143000
2021-01-20,13000.0,13000.0,13000.0,13000.0,0.0,29,377000,377000
2021-01-12,13000.0,13000.0,13000.0,13000.0,0.0,10,130000,130000
2021-01-05,13000.0,13000.0,13000.0,13000.0,-0.12,6,78000,78000
2020-11-27,13015.0,13015.0,13015.0,13015.0,0.0,46,598690,598690
2020-11-17,13015.0,13015.0,13015.0,13015.0,-10.24,5,65075,65075
2020-10-26,14500.0,14500.0,14500.0,14500.0,-0.73,10,145000,145000
2020-10-02,14606.0,14606.0,14606.0,14606.0,0.0,46,671876,671876
2020-09-04,14606.0,14606.0,14606.0,14606.0,-0.01,3,43818,43818
2020-08-21,14607.0,14607.0,14607.0,14607.0,0.74,35,511245,511245
2020-08-17,14500.0,14500.0,14500.0,14500.0,-0.71,3,43500,43500
2020-08-14,14604.0,14604.0,14604.0,14604.0,-3.0,1,14604,14604
2020-08-13,15055.0,15055.0,15055.0,15055.0,-3.0,2,30110,30110
2020-08-10,15520.0,15520.0,15520.0,15520.0,-3.0,20,310400,310400
2020-07-20,16000.0,16000.0,16000.0,16000.0,0.0,4,64000,64000
2020-05-28,16000.0,16000.0,16000.0,16000.0,0.0,40,640000,640000
2020-05-11,16000.0,16000.0,16000.0,16000.0,0.0,2,32000,32000
2020-05-08,16000.0,16000.0,16000.0,16000.0,0.0,16,256000,256000
2020-04-01,16000.0,16000.0,16000.0,16000.0,0.95,5,80000,80000
2020-02-27,15850.0,15850.0,15850.0,15850.0,-1.55,80,1268000,1268000
2020-02-24,16100.0,16100.0,16100.0,16100.0,-2.42,15,241500,241500
2020-02-03,16500.0,16500.0,16500.0,16500.0,-2.94,5,82500,82500
2020-01-13,17000.0,17000.0,17000.0,17000.0,0.0,51,867000,867000
2019-12-19,17000.0,17000.0,17000.0,17000.0,0.0,15,255000,255000
2019-12-06,17000.0,17000.0,17000.0,17000.0,20.57,20,340000,340000
2019-11-05,14100.0,14100.0,14100.0,14100.0,-2.08,15,211500,211500
2019-10-18,14400.0,14400.0,14400.0,14400.0,0.0,5,72000,72000
2019-10-09,14400.0,14400.0,14400.0,14400.0,0.0,4,57600,57600
2019-08-20,14400.0,14400.0,14400.0,14400.0,-2.04,10,144000,144000
2019-08-14,14700.0,14700.0,14700.0,14700.0,0.0,4,58800,58800
2019-07-08,14700.0,14700.0,14700.0,14700.0,-2.91,55,808500,808500
2019-07-01,15140.0,15140.0,15140.0,15140.0,-2.95,10,151400,151400
2019-06-12,15600.0,15600.0,15600.0,15600.0,-2.5,1,15600,15600
2019-05-03,16000.0,16000.0,16000.0,16000.0,0.0,7,112000,112000
2019-03-06,16000.0,16000.0,16000.0,16000.0,14.28,5,80000,80000
2019-03-01,14001.0,14001.0,14001.0,14001.0,11.41,25,350025,350025
2019-02-14,12567.0,12567.0,12567.0,12567.0,3.01,1,12567,12567
2019-01-28,12200.0,12200.0,12200.0,12200.0,0.0,5,61000,61000
2019-01-10,12200.0,12200.0,12200.0,12200.0,-18.68,1,12200,1064987
2018-12-20,15002.0,15002.0,15002.0,15002.0,0.0,67,1005134,1005134
2018-11-26,15002.0,15002.0,15002.0,15002.0,0.0,13,195026,195026
2018-11-13,15002.0,15002.0,15002.0,15002.0,-0.22,4,60008,60008
2018-11-09,15035.0,15035.0,15035.0,15035.0,-3.0,10,150350,150350
2018-10-22,15500.0,15500.0,15500.0,15500.0,10.27,5,77500,77500
2018-10-19,14056.0,14056.0,14056.0,14056.0,0.0,4,56224,56224
2018-10-17,14056.0,14056.0,14056.0,14056.0,0.0,3,42168,42168
2018-10-16,14056.0,14056.0,14056.0,14056.0,3.0,2,28112,28112
2018-07-11,13647.0,13647.0,13647.0,13647.0,3.0,9,122823,122823
2018-07-05,13250.0,13250.0,13250.0,13250.0,-2.99,59,781750,781750
2018-07-04,13659.0,13659.0,13659.0,13659.0,13.75,8,109272,109272
2018-07-03,12008.0,12008.0,12008.0,12008.0,-12.09,1,12008,12008
2018-06-08,13659.0,13659.0,13659.0,13659.0,13.82,3,40977,40977
2018-04-30,12000.0,12000.0,12000.0,12000.0,0.0,5,60000,60000
2018-04-27,12000.0,12000.0,12000.0,12000.0,0.0,15,180000,180000
2018-04-19,12000.0,12000.0,12000.0,12000.0,0.0,32,384000,384000
