record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,150.0,150.0,150.0,150.0,0.0,30,4500,4500
2024-10-25,150.0,150.0,150.0,150.0,0.0,50,7500,7500
2024-09-25,150.0,150.0,150.0,150.0,-16.67,50,7500,7500
2023-02-06,180.0,180.0,180.0,180.0,-10.0,135,24300,24300
2022-06-16,200.0,200.0,200.0,200.0,-2.91,71,14200,14200
2021-11-09,206.0,206.0,206.0,206.0,0.0,150,30900,30900
2021-06-28,206.0,206.0,206.0,206.0,0.0,30,6180,6180
2021-04-09,206.0,206.0,206.0,206.0,-17.6,35,7210,7210
2021-03-10,250.0,250.0,250.0,250.0,25.0,30,7500,7500
2021-02-09,200.0,200.0,200.0,200.0,48.15,54,10800,10800
2020-10-13,135.0,135.0,135.0,135.0,27.36,91,12285,12285
2020-09-04,106.0,106.0,106.0,106.0,0.0,15,1590,1590
2020-09-03,106.0,106.0,106.0,106.0,0.0,32,3392,3392
2020-05-06,106.0,106.0,106.0,106.0,0.0,33,3498,3498
2020-02-17,106.0,106.0,106.0,106.0,6.0,60,6360,6360
2019-12-17,100.0,100.0,100.0,100.0,-50.0,80,8000,8000
2019-11-29,200.0,200.0,200.0,200.0,-20.0,100,20000,20000
2019-11-27,250.0,250.0,250.0,250.0,-58.33,100,25000,25000
2017-12-07,600.0,600.0,600.0,600.0,3.09,23,13800,13800
2017-11-28,582.0,582.0,582.0,582.0,0.0,187,108834,108834
2017-11-24,582.0,582.0,582.0,582.0,-3.0,13,7566,7566
2017-11-21,600.0,600.0,600.0,600.0,0.0,50,30000,30000
2017-10-16,600.0,600.0,600.0,600.0,0.0,823,493800,493800
2017-10-13,600.0,600.0,600.0,600.0,0.0,377,226200,226200
2017-09-25,600.0,600.0,600.0,600.0,79.1,10,6000,6000
2017-09-05,335.0,335.0,335.0,335.0,34.0,20,6700,6700
2017-09-01,250.0,250.0,250.0,250.0,86.57,17,4250,4250
2017-05-23,134.0,134.0,134.0,134.0,2.29,116,15544,15544
2017-03-21,131.0,131.0,131.0,131.0,3.15,46,6026,6026
2016-09-23,127.0,127.0,127.0,127.0,35.11,70,8890,8890
2016-06-23,94.0,94.0,94.0,94.0,-6.0,50,4700,4700
2016-04-26,100.0,100.0,100.0,100.0,0.0,192,19200,19200
2016-03-22,100.0,100.0,100.0,100.0,-2.91,100,10000,10000
