record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,109000.0,109009.0,107560.0,108644.5,9.63,56,6084092,6084092
2025-01-16,104501.0,104501.0,95500.0,99099.96,4.31,25,2477499,2477499
2025-01-15,95001.0,95001.0,95001.0,95001.0,0.2,22,2090022,2090022
2025-01-14,95000.0,95000.0,94002.0,94815.42,0.87,59,5594110,5594110
2025-01-13,94000.0,94000.0,94000.0,94000.0,-0.11,18,1692000,1692000
2025-01-09,93999.0,94500.0,93901.0,94106.0,0.21,16,1505696,1505696
2025-01-08,93999.0,93999.0,93800.0,93906.12,0.02,16,1502498,1502498
2025-01-03,93990.0,93990.0,93850.0,93890.0,1.19,7,657230,657230
2024-12-27,93100.0,93100.0,92500.0,92788.89,0.31,27,2505300,2505300
2024-12-26,92500.0,92500.0,92500.0,92500.0,0.0,13,1202500,1202500
2024-12-25,92500.0,92500.0,92500.0,92500.0,0.0,4,370000,370000
2024-12-24,92500.0,92500.0,92500.0,92500.0,0.0,2,185000,185000
2024-12-20,92500.0,92500.0,92500.0,92500.0,0.0,6,555000,555000
2024-12-19,92500.0,92508.0,92500.0,92502.67,-0.51,24,2220064,2220064
2024-12-18,93000.0,93200.0,92001.0,92973.37,1.02,60,5578402,5578402
2024-12-16,92000.0,92200.0,92000.0,92036.03,0.94,34,3129225,3129225
2024-12-13,92000.0,92000.0,91003.0,91183.01,0.18,67,6109262,6109262
2024-12-12,91250.0,91250.0,91000.0,91022.73,0.25,11,1001250,1001250
2024-12-11,91000.0,91000.0,90001.0,90800.2,0.89,10,908002,908002
2024-12-10,90001.0,90002.0,90001.0,90001.5,0.0,26,2340039,2340039
2024-12-06,90000.0,90000.0,90000.0,90000.0,0.74,26,2340000,2340000
2024-12-05,90000.0,90000.0,87504.0,89340.33,2.06,72,6432504,6432504
2024-12-04,87900.0,87900.0,87003.0,87536.73,0.51,37,3238859,3238859
2024-12-03,87100.0,87100.0,87001.0,87095.5,0.11,130,11322415,14976415
2024-12-02,87000.0,87000.0,87000.0,87000.0,0.0,20,1740000,1740000
2024-11-29,87000.0,87000.0,86999.0,86999.59,0.0,17,1478993,1478993
2024-11-28,87000.0,87001.0,87000.0,87000.03,0.58,37,3219001,3219001
2024-11-27,86500.0,86500.0,86500.0,86500.0,-0.57,2,173000,173000
2024-11-25,87000.0,87000.0,87000.0,87000.0,-0.12,11,957000,957000
2024-11-22,87001.0,87998.0,87001.0,87101.2,0.12,10,871012,871012
2024-11-21,87000.0,87000.0,87000.0,87000.0,0.07,3,261000,261000
2024-11-20,86999.0,86999.0,86600.0,86937.22,0.14,18,1564870,1564870
2024-11-19,86600.0,87000.0,86600.0,86816.79,0.35,24,2083603,2083603
2024-11-18,86850.0,86850.0,86000.0,86516.67,0.48,6,519100,519100
2024-11-15,86500.0,86500.0,85600.0,86104.17,0.12,12,1033250,1033250
2024-11-14,86000.0,86000.0,86000.0,86000.0,0.58,3,258000,258000
2024-11-13,85510.0,85510.0,85500.0,85502.5,0.0,4,342010,342010
2024-11-12,85500.0,85501.0,85500.0,85500.2,-0.29,25,2137505,2137505
2024-11-11,85900.0,85900.0,85700.0,85750.0,0.88,4,343000,343000
2024-11-08,85001.0,85001.0,85001.0,85001.0,-0.84,10,850010,850010
2024-11-07,85700.0,85750.0,85700.0,85725.0,0.34,4,342900,342900
2024-11-06,85500.0,85500.0,85000.0,85436.17,-0.07,47,4015500,4015500
2024-11-05,85499.0,85500.0,85499.0,85499.5,0.0,4,341998,33661998
2024-11-04,85500.0,85500.0,85499.0,85499.91,0.0,11,940499,940499
2024-11-01,85500.0,85500.0,85500.0,85500.0,0.59,15,1282500,1282500
2024-10-31,85000.0,85000.0,85000.0,85000.0,0.57,754,64090000,64090000
2024-10-30,84401.0,85000.0,84401.0,84521.57,0.03,14,1183302,1183302
2024-10-29,84500.0,84501.0,84500.0,84500.12,-0.7,8,676001,676001
2024-10-28,85500.0,85500.0,85000.0,85100.0,-0.25,5,425500,425500
2024-10-25,85500.0,85500.0,85000.0,85313.88,-0.13,59,5033519,5033519
2024-10-24,85500.0,85500.0,85000.0,85428.57,0.53,7,598000,598000
2024-10-22,84500.0,85000.0,84500.0,84979.12,-0.02,24,2039499,2039499
2024-10-18,85000.0,85000.0,85000.0,85000.0,-0.35,2,170000,170000
2024-10-17,85000.0,85500.0,85000.0,85300.24,-0.24,45,3838511,3838511
2024-10-16,85500.0,85550.0,85500.0,85503.12,-0.57,16,1368050,1368050
2024-10-15,85990.0,85990.0,85990.0,85990.0,0.11,1,85990,85990
