record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-15,36000.0,36000.0,36000.0,36000.0,0.0,5,180000,180000
2024-12-16,36000.0,36000.0,36000.0,36000.0,2.53,77,2772000,2772000
2024-12-13,35110.0,35110.0,35110.0,35110.0,0.31,2,70220,70220
2024-12-12,35001.0,35001.0,35001.0,35001.0,0.0,4,140004,140004
2024-12-06,35000.0,35000.0,35000.0,35000.0,-0.03,4,140000,140000
2024-12-04,35010.0,35010.0,35010.0,35010.0,-7.87,8,280080,280080
2024-11-27,38000.0,38000.0,38000.0,38000.0,5.56,4,152000,152000
2024-11-21,36000.0,36000.0,36000.0,36000.0,2.86,65,2340000,2340000
2024-10-10,35000.0,35000.0,35000.0,35000.0,0.0,8,280000,280000
2024-09-16,35001.0,35001.0,35001.0,35001.0,1.48,10,350010,350010
2024-08-29,34490.0,34490.0,34490.0,34490.0,-0.03,33,1138170,1138170
2024-05-14,34500.0,34500.0,34500.0,34500.0,1.44,5,172500,172500
2024-05-13,34011.0,34011.0,34011.0,34011.0,-0.84,11,374121,374121
2024-04-16,34300.0,34300.0,34300.0,34300.0,0.0,7,240100,240100
2024-04-15,34300.0,34300.0,34300.0,34300.0,0.0,3,102900,102900
2024-04-03,34300.0,34300.0,34300.0,34300.0,3.0,12,411600,411600
2024-03-28,33301.0,33301.0,33301.0,33301.0,0.0,10,333010,333010
2024-03-20,33301.0,33301.0,33301.0,33301.0,0.0,7,233107,233107
2024-02-22,33301.0,33301.0,33301.0,33301.0,0.0,15,499515,499515
2024-02-20,33301.0,33301.0,33301.0,33301.0,-0.3,100,3330100,3330100
2024-02-16,33400.0,33400.0,33400.0,33400.0,0.0,100,3340000,3340000
2024-02-15,33401.0,33401.0,33401.0,33401.0,-0.3,100,3340100,3340100
2024-01-29,33501.0,33501.0,33501.0,33501.0,11.3,3,100503,100503
2023-08-22,30101.0,30101.0,30101.0,30101.0,0.33,5,150505,150505
2023-07-18,30001.0,30001.0,30001.0,30001.0,0.0,63,1890063,1890063
2023-06-13,30000.0,30000.0,30000.0,30000.0,0.0,6,180000,180000
2023-06-09,30000.0,30000.0,30000.0,30000.0,0.0,100,3000000,3000000
2023-04-19,30000.0,30000.0,30000.0,30000.0,0.0,16,480000,480000
2023-04-18,30000.0,30000.0,30000.0,30000.0,0.0,5,150000,150000
2023-04-13,30000.0,30000.0,30000.0,30000.0,0.0,5,150000,150000
2023-04-12,30000.0,30000.0,30000.0,30000.0,-6.25,5,150000,150000
2023-03-14,32000.0,32000.0,32000.0,32000.0,0.0,7,224000,224000
2023-02-17,32000.0,32000.0,32000.0,32000.0,0.0,36,1152000,1152000
2022-12-29,32000.0,32000.0,32000.0,32000.0,0.01,85,2720000,2720000
2022-12-26,31997.0,31997.0,31997.0,31997.0,-0.01,113,3615661,3615661
2022-12-16,31999.0,31999.0,31999.0,31999.0,0.0,16,511984,511984
2022-12-14,31998.0,31998.0,31998.0,31998.0,-1.54,16,511968,511968
2022-11-21,32499.0,32499.0,32499.0,32499.0,-1.52,5,162495,162495
2022-11-01,33000.0,33000.0,33000.0,33000.0,0.01,18,594000,594000
2022-09-30,32998.0,32998.0,32998.0,32998.0,-0.01,16,527968,527968
2022-09-28,33000.0,33000.0,33000.0,33000.0,0.0,29,957000,957000
2022-09-16,33000.0,33000.0,33000.0,33000.0,0.0,9,297000,297000
2022-08-29,33000.0,33000.0,33000.0,33000.0,0.0,6,198000,198000
2022-08-25,33000.0,33000.0,33000.0,33000.0,0.0,7,231000,231000
2022-06-06,33000.0,33000.0,33000.0,33000.0,0.0,20,660000,660000
2022-03-15,33000.0,33000.0,33000.0,33000.0,-10.81,60,1980000,1980000
2022-01-27,37000.0,37000.0,37000.0,37000.0,0.0,65,2405000,2405000
2022-01-18,37000.0,37000.0,37000.0,37000.0,0.0,35,1295000,4995000
2022-01-13,37000.0,37000.0,37000.0,37000.0,0.03,3,111000,111000
2021-12-22,36990.0,36990.0,36990.0,36990.0,-0.03,15,554850,554850
2021-12-13,37000.0,37000.0,37000.0,37000.0,0.0,8,296000,296000
2021-11-11,37000.0,37000.0,37000.0,37000.0,0.0,90,3330000,3330000
2021-11-09,37000.0,37000.0,37000.0,37000.0,-2.37,170,6290000,6290000
2021-11-01,37897.0,37897.0,37897.0,37897.0,0.0,24,909528,909528
2021-09-14,37898.0,37898.0,37898.0,37898.0,9.85,4,151592,151592
2021-07-14,34501.0,34501.0,34501.0,34501.0,0.0,2,69002,69002
2021-06-14,34500.0,34500.0,34500.0,34500.0,0.0,383,13213500,13213500
2021-05-14,34500.0,34500.0,34500.0,34500.0,0.0,35,1207500,1207500
2021-05-07,34500.0,34500.0,34500.0,34500.0,0.0,12,414000,414000
2021-04-22,34501.0,34501.0,34501.0,34501.0,0.0,4,138004,138004
2021-04-20,34500.0,34500.0,34500.0,34500.0,-0.03,3,103500,103500
2021-04-16,34510.0,34510.0,34510.0,34510.0,0.0,5,172550,172550
2021-04-15,34510.0,34510.0,34510.0,34510.0,-0.26,8,276080,276080
2021-04-12,34600.0,34600.0,34600.0,34600.0,0.29,7,242200,242200
2021-03-12,34500.0,34500.0,34500.0,34500.0,0.0,3,103500,103500
2021-02-11,34500.0,34500.0,34500.0,34500.0,0.29,5,172500,172500
2021-02-04,34400.0,34400.0,34400.0,34400.0,0.0,4,137600,137600
2021-02-03,34399.0,34399.0,34399.0,34399.0,4.24,5,171995,171995
2020-12-17,33000.0,33000.0,33000.0,33000.0,0.0,5,165000,165000
2020-12-16,33000.0,33000.0,33000.0,33000.0,1.71,5,165000,165000
2020-09-16,32445.0,32445.0,32445.0,32445.0,0.0,12,389340,389340
2020-09-07,32445.0,32445.0,32445.0,32445.0,0.0,44,1427580,1427580
2020-09-01,32445.0,32445.0,32445.0,32445.0,0.0,353,11453085,11453085
2020-08-20,32445.0,32445.0,32445.0,32445.0,0.0,10,324450,324450
2020-07-17,32445.0,32445.0,32445.0,32445.0,3.0,418,13562010,13562010
2020-06-23,31500.0,31500.0,31500.0,31500.0,1.61,7,220500,220500
2020-05-28,31000.0,31000.0,31000.0,31000.0,3.33,4,124000,124000
2020-05-18,30000.0,30000.0,30000.0,30000.0,-3.54,8,240000,240000
2020-04-09,31100.0,31100.0,31100.0,31100.0,-9.86,13,404300,404300
2020-04-07,34500.0,34500.0,34500.0,34500.0,-8.8,30,1035000,1035000
2020-02-19,37830.0,37830.0,37830.0,37830.0,-3.0,9,340470,340470
2020-02-03,39000.0,39000.0,39000.0,39000.0,-4.88,8,312000,312000
2020-01-22,41000.0,41000.0,41000.0,41000.0,3.09,25,1025000,1025000
2020-01-14,39770.0,39770.0,39770.0,39770.0,-3.0,2,79540,79540
2020-01-13,41000.0,41000.0,41000.0,41000.0,0.0,5,205000,205000
2019-12-30,41000.0,41000.0,41000.0,41000.0,0.14,30,1230000,1230000
2019-12-27,40800.0,41000.0,40800.0,40942.86,0.27,14,573200,573200
2019-12-26,40990.0,40990.0,40800.0,40831.67,2.08,12,489980,489980
2019-12-19,40000.0,40000.0,40000.0,40000.0,0.0,11,440000,440000
2019-12-18,40000.0,40000.0,40000.0,40000.0,2.56,10,400000,400000
2019-12-17,39000.0,39000.0,39000.0,39000.0,0.0,10,390000,390000
2019-12-16,39000.0,39000.0,39000.0,39000.0,0.0,15,585000,585000
2019-12-03,39000.0,39000.0,39000.0,39000.0,-0.26,1,39000,39000
2019-11-28,39100.0,39100.0,39100.0,39100.0,0.0,13,508300,508300
2019-11-21,39100.0,39100.0,39100.0,39100.0,0.26,8,312800,312800
2019-11-19,39000.0,39000.0,39000.0,39000.0,-1.2,4,156000,156000
2019-11-18,39474.0,39474.0,39474.0,39474.0,-0.07,20,789480,789480
2019-11-07,39500.0,39500.0,39500.0,39500.0,-0.25,5,197500,197500
2019-10-16,39599.0,39599.0,39599.0,39599.0,0.0,48,1900752,1900752
