record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-02,3000.0,3000.0,3000.0,3000.0,50.0,50,150000,150000
2024-12-16,2000.0,2000.0,2000.0,2000.0,0.0,20,40000,40000
2024-07-19,2000.0,2000.0,2000.0,2000.0,0.0,49,98000,98000
2024-07-11,2000.0,2000.0,2000.0,2000.0,0.0,88,176000,176000
2024-07-05,2000.0,2000.0,2000.0,2000.0,0.0,11,22000,22000
2024-05-29,2000.0,2000.0,2000.0,2000.0,0.0,101,202000,202000
2024-02-13,2000.0,2000.0,2000.0,2000.0,0.0,40,80000,80000
2024-01-25,2000.0,2000.0,2000.0,2000.0,0.0,76,152000,152000
2024-01-15,2000.0,2000.0,2000.0,2000.0,42.86,80,160000,160000
2023-12-28,1400.0,1400.0,1400.0,1400.0,-30.0,10,14000,14000
2023-11-15,2000.0,2000.0,2000.0,2000.0,0.0,55,110000,110000
2023-09-12,2000.0,2000.0,2000.0,2000.0,0.0,120,240000,240000
2023-06-05,2000.0,2000.0,2000.0,2000.0,0.0,114,228000,228000
2023-05-31,2000.0,2000.0,2000.0,2000.0,-4.76,126,252000,252000
2022-10-04,2100.0,2100.0,2100.0,2100.0,0.0,190,399000,399000
2022-09-05,2100.0,2100.0,2100.0,2100.0,0.0,802,1684200,1684200
2022-08-11,2100.0,2100.0,2100.0,2100.0,-2.33,810,1701000,1701000
2022-03-10,2150.0,2150.0,2150.0,2150.0,0.0,7,15050,15050
2022-02-23,2150.0,2150.0,2150.0,2150.0,4.37,53,113950,113950
2022-01-13,2060.0,2060.0,2060.0,2060.0,3.0,13,26780,26780
2021-12-20,2000.0,2000.0,2000.0,2000.0,0.0,60,120000,120000
2021-11-30,2000.0,2000.0,2000.0,2000.0,0.0,118,236000,236000
2021-09-20,2000.0,2000.0,2000.0,2000.0,-0.05,50,100000,100000
2021-05-06,2001.0,2001.0,2001.0,2001.0,0.0,130,260130,260130
2021-02-16,2001.0,2001.0,2001.0,2001.0,8.57,30,60030,60030
2021-02-02,1843.0,1843.0,1843.0,1843.0,-3.0,1756,3236308,3236308
2021-01-05,1900.0,1900.0,1900.0,1900.0,0.0,83,157700,157700
2020-12-30,1900.0,1900.0,1900.0,1900.0,5.5,7,13300,13300
2018-12-24,1801.0,1801.0,1801.0,1801.0,0.06,55,99055,99055
2018-12-18,1800.0,1800.0,1800.0,1800.0,-0.88,60,108000,108000
2018-11-06,1816.0,1816.0,1816.0,1816.0,3.71,5,9080,9080
2018-10-12,1751.0,1751.0,1751.0,1751.0,3.0,109,190859,190859
2018-08-17,1700.0,1700.0,1700.0,1700.0,-0.12,60,102000,102000
2018-07-10,1702.0,1702.0,1702.0,1702.0,0.12,70,119140,119140
2018-06-29,1700.0,1700.0,1700.0,1700.0,0.0,74,125800,125800
2018-06-26,1700.0,1700.0,1700.0,1700.0,0.06,82,139400,139400
2018-06-04,1699.0,1699.0,1699.0,1699.0,0.0,60,101940,101940
2018-05-30,1699.0,1699.0,1699.0,1699.0,0.0,41,69659,69659
2018-05-16,1699.0,1699.0,1699.0,1699.0,0.0,60,101940,101940
2018-05-14,1699.0,1699.0,1699.0,1699.0,2.97,30,50970,50970
2018-05-07,1650.0,1650.0,1650.0,1650.0,2.61,30,49500,49500
2018-05-03,1608.0,1608.0,1608.0,1608.0,5.72,129,207432,207432
2018-04-19,1521.0,1521.0,1521.0,1521.0,3.47,71,107991,107991
2018-02-01,1470.0,1470.0,1470.0,1470.0,0.0,60,88200,88200
2017-10-26,1470.0,1470.0,1470.0,1470.0,0.0,222,326340,326340
2017-10-10,1470.0,1470.0,1470.0,1470.0,0.0,40,58800,58800
2017-10-06,1470.0,1470.0,1470.0,1470.0,0.0,112,164640,164640
2017-10-03,1470.0,1470.0,1470.0,1470.0,-2.97,61,89670,89670
2017-08-10,1515.0,1515.0,1515.0,1515.0,0.0,10,15150,15150
2017-07-11,1515.0,1515.0,1515.0,1515.0,0.0,40,60600,60600
2017-06-28,1515.0,1515.0,1515.0,1515.0,0.0,120,181800,181800
2017-06-19,1515.0,1515.0,1515.0,1515.0,0.0,10,15150,15150
2017-05-18,1515.0,1515.0,1515.0,1515.0,-0.79,230,348450,348450
2017-05-09,1527.0,1527.0,1527.0,1527.0,0.0,13,19851,19851
2017-05-05,1527.0,1527.0,1527.0,1527.0,0.0,13,19851,19851
2017-04-13,1527.0,1527.0,1527.0,1527.0,3.88,70,106890,106890
2017-04-11,1470.0,1470.0,1470.0,1470.0,-2.97,3,4410,4410
2017-02-21,1515.0,1515.0,1515.0,1515.0,2.99,79,119685,119685
2017-02-10,1471.0,1471.0,1471.0,1471.0,0.0,71,104441,104441
2017-02-08,1471.0,1471.0,1471.0,1471.0,-0.07,70,102970,102970
2017-01-26,1472.0,1472.0,1472.0,1472.0,5.14,3,4416,4416
2016-10-28,1400.0,1400.0,1400.0,1400.0,3.7,50,70000,70000
2016-09-12,1350.0,1350.0,1350.0,1350.0,-0.59,66,89100,89100
2016-08-09,1358.0,1358.0,1358.0,1358.0,-3.0,40,54320,54320
2016-06-16,1400.0,1400.0,1400.0,1400.0,-6.6,45,63000,63000
2016-06-10,1499.0,1499.0,1499.0,1499.0,10.95,3,4497,4497
2016-05-13,1351.0,1351.0,1351.0,1351.0,0.07,129,174279,174279
2016-05-05,1350.0,1350.0,1350.0,1350.0,-0.74,31,41850,41850
2016-04-25,1360.0,1360.0,1360.0,1360.0,0.74,20,27200,27200
2016-04-18,1350.0,1350.0,1350.0,1350.0,-0.74,24,32400,32400
2016-04-13,1360.0,1360.0,1360.0,1360.0,0.0,142,193120,193120
2016-03-29,1360.0,1360.0,1360.0,1360.0,0.74,110,149600,149600
2016-03-04,1350.0,1350.0,1350.0,1350.0,0.0,110,148500,148500
2016-02-12,1350.0,1350.0,1350.0,1350.0,0.0,40,54000,54000
