record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,16400.0,16400.0,16399.0,16399.9,0.37,79,1295592,1295592
2025-01-16,16400.0,16400.0,16300.0,16339.02,-0.37,164,2679600,2679600
2025-01-15,16400.0,16400.0,16400.0,16400.0,0.0,119,1951600,1951600
2025-01-14,16400.0,16400.0,16400.0,16400.0,0.0,3,49200,49200
2025-01-13,16400.0,16400.0,16400.0,16400.0,-0.22,8,131200,131200
2025-01-10,16400.0,16500.0,16351.0,16435.41,0.03,170,2794020,2794020
2025-01-09,16400.0,16498.0,16300.0,16430.56,-0.41,117,1922376,1922376
2025-01-08,16498.0,16500.0,16498.0,16498.22,-0.01,103,1699317,1699317
2025-01-03,16500.0,16500.0,16500.0,16500.0,-1.31,422,6963000,6963000
2025-01-02,16500.0,16750.0,16500.0,16719.36,0.73,47,785810,785810
2024-12-30,16598.0,16600.0,16598.0,16598.33,0.6,43,713728,713728
2024-12-27,16500.0,16500.0,16500.0,16500.0,0.1,44,726000,726000
2024-12-26,16500.0,16500.0,16400.0,16483.49,-0.1,81,1335163,1335163
2024-12-25,16500.0,16500.0,16500.0,16500.0,2.59,35,577500,577500
2024-12-24,16490.0,16490.0,16015.0,16082.86,-2.59,14,225160,225160
2024-12-23,16500.0,16553.0,16500.0,16509.69,2.73,32,528310,528310
2024-12-20,16501.0,17049.0,15960.0,16070.92,3.69,122,1960652,5548652
2024-12-19,15500.0,15500.0,15300.0,15499.34,2.75,3036,47056000,47056000
2024-12-18,15300.0,15300.0,15000.0,15084.64,1.17,195,2941505,2941505
2024-12-17,14950.0,14950.0,14800.0,14910.92,1.35,262,3906660,3906660
2024-12-16,14750.0,14950.0,14530.0,14712.5,-1.78,144,2118600,2118600
2024-12-13,14950.0,14998.0,14940.0,14979.32,-0.13,68,1018594,1018594
2024-12-12,14999.0,15000.0,14999.0,14999.21,-0.01,200,2999842,2999842
2024-12-11,15000.0,15000.0,15000.0,15000.0,-2.21,166,2490000,2490000
2024-12-06,15498.0,15500.0,15300.0,15338.33,1.81,104,1595186,1595186
2024-12-05,15090.0,15090.0,15000.0,15066.05,0.45,155,2335237,2335237
2024-12-04,14999.0,14999.0,14999.0,14999.0,-0.01,12,179988,179988
2024-12-03,14999.0,15000.0,14999.0,14999.75,-0.6,61,914985,914985
2024-12-02,15090.0,15090.0,15090.0,15090.0,0.6,16,241440,241440
2024-11-29,15000.0,15000.0,15000.0,15000.0,0.0,27,405000,405000
2024-11-28,15000.0,15000.0,14998.0,14999.96,0.0,199,2984992,2984992
2024-11-27,14998.0,15000.0,14998.0,14999.67,0.27,30,449990,449990
2024-11-26,15000.0,15000.0,14900.0,14960.0,0.4,10,149600,149600
2024-11-22,14900.0,14900.0,14900.0,14900.0,0.36,6,89400,89400
2024-11-20,14800.0,14950.0,14790.0,14846.67,0.26,15,222700,222700
2024-11-18,14750.0,15099.0,14750.0,14808.17,-0.62,18,266547,266547
2024-11-14,14900.0,14900.0,14900.0,14900.0,0.0,4,59600,59600
2024-11-12,14900.0,14900.0,14900.0,14900.0,1.21,10,149000,149000
2024-11-11,15069.0,15069.0,14550.0,14721.59,-2.48,27,397483,397483
2024-11-08,15096.0,15096.0,15096.0,15096.0,-0.01,9,135864,135864
2024-11-07,15098.0,15098.0,15098.0,15098.0,-0.01,17,256666,256666
2024-11-05,15100.0,15100.0,15100.0,15100.0,0.0,11,166100,166100
2024-11-04,15100.0,15100.0,15100.0,15100.0,2.03,2,30200,30200
2024-11-01,14800.0,14800.0,14800.0,14800.0,0.68,12,177600,177600
2024-10-31,14700.0,14700.0,14700.0,14700.0,0.0,21,308700,308700
2024-10-30,14700.0,14701.0,14700.0,14700.65,0.0,31,455720,455720
