record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-16,13.0,13.0,13.0,13.0,-18.75,510,6630,6630
2024-10-14,16.0,16.0,16.0,16.0,0.0,2700,43200,43200
2024-10-02,16.0,16.0,16.0,16.0,0.0,449,7184,7184
2024-09-24,16.0,16.0,16.0,16.0,-15.79,349,5584,5584
2024-08-01,19.0,19.0,19.0,19.0,-5.0,120,2280,2280
2024-06-11,20.0,20.0,20.0,20.0,-56.52,300,6000,6000
2023-07-13,46.0,46.0,46.0,46.0,0.0,1774,81604,81604
2023-07-07,46.0,46.0,46.0,46.0,2.22,330,15180,15180
2023-06-22,45.0,45.0,45.0,45.0,0.0,1741,78345,78345
2023-06-21,45.0,45.0,45.0,45.0,9.76,625,28125,28125
2023-06-12,41.0,41.0,41.0,41.0,7.89,2926,119966,119966
2023-06-01,38.0,38.0,38.0,38.0,0.0,100,3800,3800
2023-04-20,38.0,38.0,38.0,38.0,8.57,765,29070,29070
2023-04-19,35.0,35.0,35.0,35.0,0.0,1012,35420,35420
2023-03-30,35.0,35.0,35.0,35.0,0.0,631,22085,22085
2023-03-01,35.0,35.0,35.0,35.0,0.0,320,11200,11200
2023-02-10,35.0,35.0,35.0,35.0,-22.22,671,23485,23485
2023-02-09,45.0,45.0,45.0,45.0,32.35,100,4500,4500
2023-01-26,34.0,34.0,34.0,34.0,-15.0,561,19074,19074
2023-01-20,40.0,40.0,40.0,40.0,2.56,64,2560,2560
2022-12-23,39.0,39.0,39.0,39.0,-2.5,3479,135681,135681
2022-12-20,40.0,40.0,40.0,40.0,0.0,1000,40000,40000
2022-11-30,40.0,40.0,40.0,40.0,-20.0,200,8000,8000
2022-09-28,50.0,50.0,50.0,50.0,0.0,150,7500,7500
2022-09-14,50.0,50.0,50.0,50.0,0.0,65,3250,3250
2022-09-02,50.0,50.0,50.0,50.0,0.0,319,15950,15950
2022-08-25,50.0,50.0,50.0,50.0,-10.71,996,49800,49800
2022-08-18,56.0,56.0,56.0,56.0,1.82,197,11032,11032
2022-07-26,55.0,55.0,55.0,55.0,7.84,640,35200,35200
2022-07-04,51.0,51.0,51.0,51.0,-15.0,150,7650,7650
2022-06-16,60.0,60.0,60.0,60.0,0.0,700,42000,42000
2022-06-08,60.0,60.0,60.0,60.0,-7.69,254,15240,15240
2022-04-18,65.0,65.0,65.0,65.0,-2.37,500,32500,32500
2022-04-05,67.0,67.0,66.0,66.58,-0.63,2360,157120,157120
