record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-14,250.0,250.0,250.0,250.0,0.0,51,12750,12750
2021-09-13,250.0,250.0,250.0,250.0,0.0,5781,1445250,1445250
2021-05-10,250.0,250.0,250.0,250.0,61.29,30,7500,7500
2020-07-16,155.0,155.0,155.0,155.0,-38.0,834,129270,129270
2020-07-01,250.0,250.0,250.0,250.0,0.0,198,49500,49500
2019-12-27,250.0,250.0,250.0,250.0,-2.72,30,7500,7500
2019-10-24,257.0,257.0,257.0,257.0,2.8,15,3855,3855
2018-07-04,250.0,250.0,250.0,250.0,8.23,111,27750,27750
2018-01-30,231.0,231.0,231.0,231.0,2.67,47,10857,10857
2017-08-22,225.0,225.0,225.0,225.0,12.5,11,2475,2475
2016-11-23,200.0,200.0,200.0,200.0,0.0,46,9200,9200
2016-03-23,200.0,200.0,200.0,200.0,0.0,59,11800,11800
