record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,1957.0,1957.0,1860.0,1905.59,0.29,445,847989,847989
2025-01-16,1900.0,1900.0,1900.0,1900.0,2.65,20,38000,38000
2025-01-15,1851.0,1860.0,1850.0,1850.9,0.05,1242,2298820,2298820
2025-01-14,1850.0,1850.0,1850.0,1850.0,-0.54,69,127650,127650
2025-01-13,1860.0,1860.0,1860.0,1860.0,0.0,200,372000,372000
2025-01-10,1860.0,1860.0,1860.0,1860.0,-2.06,1000,1860000,7440000
2025-01-09,1899.0,1900.0,1899.0,1899.12,2.66,26,49377,49377
2025-01-08,1850.0,1850.0,1850.0,1850.0,-0.01,200,370000,370000
2025-01-03,1900.0,1900.0,1850.0,1850.12,-0.48,401,741900,741900
2025-01-02,1859.0,1859.0,1859.0,1859.0,0.0,97,180323,180323
2024-12-30,1859.0,1859.0,1859.0,1859.0,2.99,3,5577,5577
2024-12-27,1810.0,1810.0,1790.0,1804.95,0.53,960,1732750,1732750
2024-12-25,1790.0,1800.0,1790.0,1795.45,1.06,11,19750,19750
2024-12-24,1800.0,1800.0,1760.0,1776.67,-1.3,72,127920,127920
2024-12-20,1800.0,1800.0,1800.0,1800.0,2.77,50,90000,6827500
2024-12-19,1800.0,1800.0,1751.0,1751.5,-1.05,293,513190,513190
2024-12-18,1770.0,1770.0,1770.0,1770.0,2.27,50,88500,88500
2024-12-17,1731.0,1731.0,1730.0,1730.66,-2.23,151,261330,261330
2024-12-16,1772.0,1772.0,1755.0,1770.05,0.56,131,231877,231877
2024-12-13,1772.0,1772.0,1760.0,1760.2,2.28,357,628392,628392
2024-12-12,1721.0,1721.0,1721.0,1721.0,0.3,200,344200,344200
2024-12-11,1716.0,1716.0,1711.0,1715.91,-1.01,6880,11805485,11805485
2024-12-10,1755.0,1755.0,1720.0,1733.46,1.97,65,112675,112675
2024-12-06,1700.0,1700.0,1700.0,1700.0,0.63,120,204000,204000
2024-12-05,1690.0,1690.0,1680.0,1689.29,2.38,140,236500,236500
2024-12-04,1650.0,1650.0,1650.0,1650.0,-1.2,50,82500,82500
2024-12-02,1670.0,1670.0,1670.0,1670.0,0.0,99,165330,165330
2024-11-29,1670.0,1670.0,1670.0,1670.0,1.21,1,1670,1670
2024-11-28,1650.0,1650.0,1650.0,1650.0,-0.06,590,973500,973500
2024-11-27,1651.0,1651.0,1651.0,1651.0,-1.18,219,361569,361569
2024-11-26,1680.0,1680.0,1660.0,1670.63,-0.01,495,826960,4126960
2024-11-25,1660.0,1679.0,1660.0,1670.86,2.44,70,116960,116960
2024-11-22,1631.0,1631.0,1631.0,1631.0,-2.92,115,187565,187565
2024-11-21,1680.0,1680.0,1680.0,1680.0,1.29,9,15120,15120
2024-11-20,1650.0,1693.0,1650.0,1658.6,1.57,50,82930,3382930
