record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,3900.0,3900.0,3900.0,3900.0,1.01,50,195000,195000
2025-01-15,3861.0,3861.0,3861.0,3861.0,1.21,132,509652,509652
2025-01-03,3815.0,3815.0,3815.0,3815.0,0.37,100,381500,381500
2024-12-23,3801.0,3801.0,3801.0,3801.0,-3.77,100,380100,380100
2024-12-20,3950.0,3950.0,3950.0,3950.0,2.57,89,351550,351550
2024-12-18,3851.0,3851.0,3851.0,3851.0,-1.26,16,61616,61616
2024-12-17,3900.0,3900.0,3900.0,3900.0,1.19,20,78000,78000
2024-12-11,3868.0,3868.0,3840.0,3854.0,2.62,100,385400,385400
2024-12-06,3800.0,3800.0,3751.0,3755.73,1.37,207,777437,777437
2024-12-04,3705.0,3705.0,3705.0,3705.0,0.07,150,555750,555750
2024-11-25,3702.0,3703.0,3702.0,3702.36,-0.02,200,740471,740471
2024-11-22,3703.0,3703.0,3703.0,3703.0,-0.03,4,14812,14812
2024-11-21,3704.0,3704.0,3704.0,3704.0,0.05,66,244464,244464
2024-11-13,3702.0,3703.0,3702.0,3702.3,0.02,82,303589,303589
2024-11-12,3702.0,3702.0,3700.0,3701.54,0.04,648,2398596,2398596
2024-10-24,3700.0,3700.0,3700.0,3700.0,0.0,19,70300,70300
2024-10-03,3700.0,3700.0,3700.0,3700.0,-1.97,166,614200,614200
2024-09-26,3900.0,3900.0,3699.0,3774.5,2.12,40,150980,150980
2024-09-25,3699.0,3699.0,3695.0,3696.18,-0.01,197,728148,728148
2024-09-24,3699.0,3699.0,3690.0,3696.66,-0.06,50,184833,184833
2024-09-18,3699.0,3699.0,3699.0,3699.0,-0.03,119,440181,440181
2024-09-16,3700.0,3700.0,3700.0,3700.0,-0.05,24,88800,88800
2024-09-13,3702.0,3702.0,3702.0,3702.0,0.05,19,70338,70338
2024-08-27,3700.0,3700.0,3700.0,3700.0,0.0,146,540200,540200
2024-08-26,3700.0,3700.0,3700.0,3700.0,0.0,110,407000,407000
2024-08-23,3700.0,3700.0,3700.0,3700.0,0.0,10,37000,37000
2024-07-26,3700.0,3700.0,3700.0,3700.0,0.0,46,170200,170200
2024-07-19,3700.0,3700.0,3700.0,3700.0,-2.63,166,614200,614200
2024-07-11,3800.0,3800.0,3800.0,3800.0,0.0,155,589000,589000
2024-07-10,3800.0,3800.0,3800.0,3800.0,0.53,100,380000,380000
2024-07-04,3780.0,3780.0,3780.0,3780.0,5.0,30,113400,113400
2024-06-25,3600.0,3600.0,3600.0,3600.0,-0.03,16,57600,57600
2024-06-14,3601.0,3601.0,3601.0,3601.0,-5.29,19,68419,68419
2024-03-26,3802.0,3802.0,3802.0,3802.0,-11.56,8,30416,30416
2024-02-23,4299.0,4299.0,4299.0,4299.0,7.48,8,34392,34392
2024-02-09,4000.0,4000.0,4000.0,4000.0,14.29,15,60000,60000
2024-02-08,3500.0,3500.0,3500.0,3500.0,0.0,36,126000,126000
2024-02-07,3500.0,3500.0,3500.0,3500.0,27.27,10,35000,35000
2023-12-01,2750.0,2750.0,2750.0,2750.0,1.25,8,22000,22000
2023-06-26,2716.0,2716.0,2716.0,2716.0,-3.0,5,13580,13580
2023-06-15,2800.0,2800.0,2800.0,2800.0,-23.29,224,627200,627200
2023-03-14,3650.0,3650.0,3650.0,3650.0,17.74,50,182500,182500
2023-02-24,3100.0,3100.0,3100.0,3100.0,1.64,21,65100,65100
2023-02-23,3050.0,3050.0,3050.0,3050.0,17.08,39,118950,118950
2023-02-08,2605.0,2605.0,2605.0,2605.0,4.03,13,33865,33865
2023-02-07,2504.0,2504.0,2504.0,2504.0,0.16,61,152744,152744
2022-12-23,2500.0,2500.0,2500.0,2500.0,19.05,8,20000,20000
2022-11-29,2100.0,2100.0,2100.0,2100.0,1.94,27,56700,56700
2022-11-10,2060.0,2060.0,2060.0,2060.0,3.0,39,80340,80340
2022-09-13,2000.0,2000.0,2000.0,2000.0,-29.82,49,98000,98000
2022-06-16,2850.0,2850.0,2850.0,2850.0,-1.69,36,102600,102600
2022-05-16,2899.0,2899.0,2899.0,2899.0,0.0,24,69576,69576
2022-02-23,2899.0,2899.0,2899.0,2899.0,-1.02,6,17394,17394
2021-11-26,2929.0,2929.0,2929.0,2929.0,-2.98,16,46864,46864
2021-11-05,3019.0,3019.0,3019.0,3019.0,-2.99,75,226425,226425
2021-11-03,3112.0,3112.0,3112.0,3112.0,-2.99,49,152488,152488
2021-09-13,3208.0,3208.0,3208.0,3208.0,28.32,13,41704,41704
2021-07-30,2500.0,2500.0,2500.0,2500.0,-50.0,6,15000,15000
