record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,30798.0,30799.0,30389.0,30562.83,0.58,439,13417084,21067084
2025-01-16,30389.0,30400.0,30377.0,30385.81,1.22,519,15770234,15770234
2025-01-15,30198.0,30200.0,29830.0,30020.99,0.63,656,19693771,19693771
2025-01-14,29897.0,29899.0,29799.0,29833.73,0.25,226,6742423,6742423
2025-01-13,29897.0,29905.0,29700.0,29758.7,0.15,398,11843961,11843961
2025-01-10,29725.0,29899.0,29401.0,29712.74,1.69,309,9181237,15604337
2025-01-09,29300.0,29300.0,29187.0,29218.12,0.77,373,10898357,10898357
2025-01-08,29000.0,29199.0,28800.0,28994.56,0.28,321,9307254,9307254
2025-01-03,29000.0,29000.0,28800.0,28913.41,1.43,232,6707910,6707910
2025-01-02,28800.0,28800.0,28490.0,28506.33,0.23,60,1710380,1710380
2024-12-30,28301.0,28497.0,28300.0,28440.34,0.54,182,5176141,5176141
2024-12-27,28297.0,28300.0,28200.0,28287.4,0.08,531,15020611,15020611
2024-12-26,28249.0,28498.0,28200.0,28265.78,0.23,1111,31403286,31403286
2024-12-25,28197.0,28299.0,28150.0,28202.31,0.22,794,22392637,25212637
2024-12-24,28100.0,28399.0,28099.0,28141.77,-1.99,537,15112133,15112133
2024-12-23,28200.0,29099.0,28161.0,28713.35,-1.1,358,10279381,13800481
2024-12-20,28801.0,29200.0,28801.0,29031.95,0.51,686,19915920,31515920
2024-12-19,29000.0,29000.0,28800.0,28885.01,3.69,516,14904667,14904667
2024-12-18,28299.0,28300.0,27499.0,27857.02,2.54,349,9722099,9722099
2024-12-17,27250.0,27250.0,27000.0,27166.47,0.66,334,9073602,9073602
2024-12-16,27000.0,27000.0,26983.0,26988.32,-0.03,307,8285413,8285413
2024-12-13,26994.0,26999.0,26990.0,26995.83,0.16,389,10501377,10501377
2024-12-12,26950.0,26989.0,26948.0,26951.54,-0.09,358,9648650,9648650
2024-12-11,26995.0,27000.0,26898.0,26975.61,0.56,361,9738194,9738194
2024-12-10,26750.0,26990.0,26500.0,26824.55,-0.4,234,6276945,6276945
2024-12-06,26901.0,27000.0,26301.0,26931.73,3.23,406,10934281,10934281
2024-12-05,26301.0,26301.0,25949.0,26089.46,1.99,459,11975062,24602622
2024-12-04,25649.0,25650.0,25002.0,25581.37,3.89,339,8672085,8672085
2024-12-03,24702.0,24969.0,24599.0,24623.26,1.57,376,9258344,9258344
2024-12-02,24550.0,24550.0,24199.0,24242.42,0.8,566,13721208,13721208
2024-11-29,24199.0,24200.0,24000.0,24049.39,-0.2,343,8248940,8248940
2024-11-28,24100.0,24100.0,24000.0,24098.49,0.52,467,11253997,11253997
2024-11-27,24000.0,24099.0,23801.0,23972.74,0.27,473,11339106,11339106
2024-11-26,23890.0,24180.0,23500.0,23909.28,-0.87,346,8272610,8272610
2024-11-25,24097.0,24200.0,24097.0,24118.91,-0.51,1071,25831356,25831356
2024-11-22,24200.0,24300.0,24200.0,24242.93,-0.05,323,7830466,7830466
2024-11-21,24250.0,24301.0,24150.0,24254.41,-0.5,185,4487066,4487066
2024-11-20,24330.0,24400.0,24300.0,24376.47,0.06,455,11091296,11091296
2024-11-19,24312.0,24598.0,24310.0,24362.01,-0.96,1195,29112605,40750105
2024-11-18,24550.0,24749.0,24547.0,24598.7,-0.4,738,18153838,18153838
2024-11-15,24680.0,24749.0,24600.0,24696.75,-0.03,310,7655993,12252318
2024-11-14,24699.0,24790.0,24698.0,24705.2,-0.35,1096,27076903,31052903
2024-11-13,24800.0,24848.0,24700.0,24792.79,0.02,489,12123673,16099673
2024-11-12,24770.0,24850.0,24770.0,24788.51,-0.58,469,11625809,11625809
2024-11-11,24900.0,24994.0,24900.0,24932.96,-0.17,380,9474523,14763923
2024-11-08,24900.0,24999.0,24900.0,24975.96,0.1,232,5794422,5794422
2024-11-07,24998.0,24999.0,24900.0,24951.77,-0.13,109,2719743,2719743
2024-11-06,24900.0,25000.0,24900.0,24983.63,0.08,412,10293255,10293255
2024-11-05,24977.0,25000.0,24899.0,24962.5,0.32,763,19046384,19046384
2024-11-04,24897.0,24900.0,24600.0,24882.6,1.89,417,10376043,10376043
2024-11-01,24400.0,24900.0,24300.0,24419.95,1.5,1224,29890022,29890022
2024-10-31,24070.0,24070.0,24000.0,24058.49,0.39,314,7554365,7554365
2024-10-30,23969.0,23976.0,23950.0,23964.34,-0.01,962,23053698,23053698
2024-10-29,23960.0,23970.0,23960.0,23967.76,-0.01,380,9107747,15100247
2024-10-28,23960.0,23976.0,23960.0,23969.9,-0.03,1093,26199098,26199098
2024-10-25,23977.0,23979.0,23951.0,23977.61,0.01,852,20428924,20428924
2024-10-24,23978.0,23978.0,23950.0,23975.33,0.0,556,13330284,13330284
2024-10-22,23951.0,23999.0,23951.0,23976.12,-0.03,608,14577484,14577484
2024-10-21,23994.0,24000.0,23950.0,23983.19,0.17,739,17723579,17723579
2024-10-18,23970.0,23970.0,23900.0,23941.32,-0.07,690,16519514,19824614
2024-10-17,23960.0,23970.0,23920.0,23957.0,0.12,481,11523319,11523319
2024-10-16,23920.0,23990.0,23900.0,23927.66,0.0,311,7441501,7441501
