record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,9500.0,9500.0,9500.0,9500.0,4.4,15,142500,142500
2025-01-13,9100.0,9100.0,9100.0,9100.0,1.56,10,91000,91000
2025-01-10,8960.0,8960.0,8960.0,8960.0,0.0,156,1397760,1397760
2025-01-03,8960.0,8960.0,8960.0,8960.0,2.99,30,268800,268800
2025-01-02,8700.0,8700.0,8700.0,8700.0,2.96,81,704700,704700
2024-12-23,8400.0,8850.0,8400.0,8450.0,-4.89,54,456300,166506300
2024-12-13,8870.0,8890.0,8870.0,8884.55,-9.85,11,97730,97730
2024-12-04,9855.0,9855.0,9855.0,9855.0,-10.0,700,6898500,6898500
2024-12-03,10950.0,10950.0,10950.0,10950.0,9.99,210,2299500,55497750
2024-12-02,9955.0,9955.0,9955.0,9955.0,10.0,589,5863495,619978869
2024-11-29,9050.0,9050.0,9050.0,9050.0,9.99,2835,25656750,119352958
2024-11-28,8228.0,8228.0,8228.0,8228.0,9.99,2347,19311116,19311116
2024-11-27,7500.0,7500.0,7400.0,7480.39,0.76,879,6575260,12156840
2024-11-26,7400.0,7550.0,7300.0,7423.88,-3.57,160,1187820,1187820
2024-11-25,7699.0,7699.0,7699.0,7699.0,0.0,78,600522,600522
2024-11-20,7699.0,7699.0,7699.0,7699.0,1.58,781,6012919,6012919
2024-11-19,7300.0,7700.0,7300.0,7579.57,1.04,93,704900,418691507
2024-11-18,7500.0,7505.0,7500.0,7501.25,-6.23,60,450075,450075
2024-11-07,8000.0,8000.0,8000.0,8000.0,3.16,5,40000,40000
2024-10-31,7710.0,7760.0,7710.0,7754.83,-3.06,290,2248900,2248900
2024-10-30,8000.0,8000.0,8000.0,8000.0,2.59,14,112000,564161710
2024-10-25,7900.0,7900.0,7700.0,7797.96,1.63,392,3056800,37868200
2024-10-24,7800.0,7800.0,7650.0,7673.19,-7.35,690,5294500,5294500
2024-10-18,7720.0,8500.0,7720.0,8282.33,-2.56,15158,125543620,125543620
2024-10-17,8500.0,8500.0,8500.0,8500.0,-2.3,25,212500,212500
2024-10-16,8700.0,8700.0,8700.0,8700.0,0.0,17,147900,147900
2024-10-15,8700.0,8700.0,8700.0,8700.0,-3.33,3,26100,26100
2024-10-14,9000.0,9000.0,9000.0,9000.0,0.0,17,153000,153000
2024-10-10,9000.0,9000.0,9000.0,9000.0,1.15,36,324000,6784000
2024-10-09,9000.0,9000.0,8751.0,8897.47,-1.37,34,302514,302514
2024-10-08,9200.0,9200.0,8800.0,9020.85,1.36,129,1163690,152099690
2024-10-07,8900.0,8900.0,8900.0,8900.0,-2.0,20,178000,144692500
2024-10-04,9100.0,9100.0,8610.0,9081.3,4.81,562,5103690,33756990
2024-10-03,8680.0,8680.0,8500.0,8664.5,0.63,329,2850620,27962140
2024-10-02,8610.0,8610.0,8610.0,8610.0,1.27,45,387450,4467450
2024-10-01,8570.0,8570.0,8480.0,8501.89,0.02,953,8102300,74670300
2024-09-30,8500.0,8500.0,8499.0,8499.94,2.12,722,6136955,48290655
2024-09-27,8400.0,8400.0,8200.0,8323.88,2.06,278,2314040,2314040
2024-09-26,8103.0,8343.0,8100.0,8156.06,0.69,193,1574119,1574119
2024-09-24,8100.0,8100.0,8100.0,8100.0,0.0,173,1401300,1401300
2024-09-23,8100.0,8100.0,8100.0,8100.0,0.62,156,1263600,84407600
2024-09-20,8050.0,8050.0,8050.0,8050.0,0.32,50,402500,402500
2024-09-19,8050.0,8050.0,7800.0,8024.22,0.02,424,3402270,3402270
2024-09-13,8000.0,8050.0,7990.0,8022.87,-0.34,52,417189,417189
2024-09-06,8050.0,8050.0,8050.0,8050.0,1.9,361,2906050,2906050
2024-09-05,7900.0,7900.0,7900.0,7900.0,2.49,22,173800,173800
2024-08-27,7700.0,7813.0,7700.0,7707.74,-1.35,73,562665,562665
2024-08-26,7750.0,7830.0,7750.0,7813.16,2.38,190,1484500,1484500
2024-08-23,7725.0,7725.0,7503.0,7631.23,1.75,1419,10828720,13101220
2024-08-13,7500.0,7500.0,7500.0,7500.0,0.0,150,1125000,1125000
2024-08-07,7500.0,7500.0,7500.0,7500.0,-0.92,38,285000,285000
2024-08-05,7570.0,7570.0,7570.0,7570.0,2.99,430,3255100,3255100
2024-07-31,7350.0,7350.0,7350.0,7350.0,0.0,80,588000,588000
2024-07-30,7350.0,7350.0,7350.0,7350.0,0.68,30,220500,4381500
2024-07-29,7300.0,7300.0,7300.0,7300.0,0.19,35,255500,255500
2024-07-25,7337.0,7337.0,7210.0,7286.2,2.28,50,364310,364310
2024-07-24,7200.0,7200.0,7010.0,7124.0,-1.06,250,1781000,1781000
2024-07-23,7200.0,7200.0,7200.0,7200.0,-10.0,10,72000,72000
2024-07-17,8000.0,8000.0,8000.0,8000.0,-2.77,10,80000,80000
2024-07-16,8228.0,8228.0,8228.0,8228.0,10.0,20,164560,164560
2024-07-11,7480.0,7480.0,7480.0,7480.0,10.0,15,112200,112200
2024-07-05,6800.0,6800.0,6800.0,6800.0,1.54,50,340000,2380000
2024-07-04,6697.0,6697.0,6697.0,6697.0,3.0,106,709882,709882
2024-06-25,6502.0,6502.0,6502.0,6502.0,0.03,10,65020,65020
2024-06-19,6500.0,6500.0,6500.0,6500.0,0.0,5,32500,32500
2024-06-18,6500.0,6500.0,6500.0,6500.0,3.16,49,318500,318500
2024-06-10,6301.0,6301.0,6301.0,6301.0,-1.18,2,12602,12602
2024-06-05,6500.0,6500.0,6302.0,6376.25,0.73,32,204040,14070440
2024-06-04,6330.0,6330.0,6330.0,6330.0,-2.48,25,158250,158250
2024-05-30,6500.0,6500.0,6315.0,6491.19,8.08,21,136315,4465315
2024-05-22,6001.0,6077.0,6001.0,6005.71,1.79,226,1357290,1357290
2024-05-20,5900.0,5900.0,5900.0,5900.0,0.0,20,118000,118000
2024-05-10,5900.0,5900.0,5900.0,5900.0,6.28,56,330400,330400
2024-05-09,5551.0,5552.0,5551.0,5551.5,-2.98,20,111030,111030
