record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-16,5100.0,5100.0,5100.0,5100.0,-1.73,20,102000,102000
2025-01-10,5190.0,5190.0,5190.0,5190.0,-0.17,20,103800,103800
2024-12-25,5199.0,5199.0,5199.0,5199.0,-2.09,5,25995,25995
2024-12-13,5328.0,5328.0,5200.0,5309.97,-0.34,71,377008,377008
2024-12-11,5328.0,5328.0,5328.0,5328.0,0.0,4,21312,21312
2024-12-10,5328.0,5328.0,5328.0,5328.0,0.0,14,74592,74592
2024-12-06,5328.0,5328.0,5328.0,5328.0,-9.98,34,181152,181152
2024-10-24,5919.0,5919.0,5919.0,5919.0,0.0,133,787227,787227
2024-10-22,5919.0,5919.0,5919.0,5919.0,0.0,132,781308,781308
2024-10-21,5919.0,5920.0,5919.0,5919.22,0.0,276,1633704,1633704
2024-10-18,5919.0,5919.0,5919.0,5919.0,0.0,109,645171,645171
2024-10-17,5919.0,5919.0,5919.0,5919.0,0.04,132,781308,781308
2024-10-16,5919.0,5919.0,5850.0,5916.49,-0.04,3208,18980097,18980097
2024-10-02,5919.0,5919.0,5919.0,5919.0,0.0,192,1136448,1136448
2024-10-01,5919.0,5919.0,5919.0,5919.0,0.01,454,2687226,2687226
2024-09-30,5919.0,5919.0,5910.0,5918.65,0.12,1422,8416324,8416324
2024-09-25,5919.0,5919.0,5750.0,5911.35,2.81,2070,12236487,12236487
2024-09-24,5750.0,5750.0,5750.0,5750.0,-2.85,20,115000,115000
2024-09-20,5919.0,5919.0,5918.0,5918.95,0.9,4032,23865195,23865195
2024-09-19,5866.0,5866.0,5866.0,5866.0,9.99,33,193578,193578
2024-09-18,5333.0,5333.0,5333.0,5333.0,-9.9,5,26665,26665
2024-09-06,5919.0,5919.0,5919.0,5919.0,0.0,144,852336,852336
2024-09-05,5919.0,5919.0,5919.0,5919.0,0.0,10,59190,59190
2024-09-04,5919.0,5919.0,5919.0,5919.0,0.0,15,88785,88785
2024-09-03,5919.0,5919.0,5919.0,5919.0,0.0,111,657009,657009
2024-09-02,5919.0,5919.0,5919.0,5919.0,0.0,35,207165,207165
2024-08-30,5919.0,5919.0,5919.0,5919.0,0.0,120,710280,710280
2024-08-27,5919.0,5919.0,5919.0,5919.0,0.0,595,3521805,3521805
2024-08-08,5919.0,5919.0,5919.0,5919.0,0.0,1035,6126165,6126165
2024-08-01,5919.0,5919.0,5919.0,5919.0,0.0,234,1385046,1385046
2024-07-31,5919.0,5919.0,5919.0,5919.0,0.0,514,3042366,3042366
2024-07-30,5919.0,5919.0,5919.0,5919.0,0.0,108,639252,639252
2024-07-29,5919.0,5919.0,5919.0,5919.0,0.0,30,177570,177570
2024-07-26,5919.0,5919.0,5919.0,5919.0,0.01,274,1621806,1621806
2024-07-25,5919.0,5919.0,5900.0,5918.69,1.13,14572,86247158,86247158
2024-07-24,5860.0,5860.0,5169.0,5852.37,9.84,5020,29378885,29378885
2024-07-23,5328.0,5328.0,5328.0,5328.0,-9.98,20,106560,106560
2024-07-19,5879.0,5919.0,5879.0,5918.99,0.61,82779,489968101,489968101
2024-07-18,5883.0,5883.0,5883.0,5883.0,9.99,1651,9712833,9712833
2024-07-17,5390.0,5390.0,4899.0,5348.65,9.16,475,2540610,2540610
2024-07-15,4900.0,4900.0,4900.0,4900.0,0.1,20,98000,98000
2024-07-11,4895.0,4895.0,4895.0,4895.0,-0.1,2,9790,9790
2024-06-28,4900.0,4900.0,4900.0,4900.0,-1.01,40,196000,196000
2024-06-07,4950.0,4950.0,4950.0,4950.0,0.02,30,148500,148500
2024-05-30,4949.0,4949.0,4949.0,4949.0,-0.96,25,123725,123725
