record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-16,48.0,48.0,48.0,48.0,2.13,500,24000,24000
2025-01-10,47.0,47.0,47.0,47.0,-2.08,1000,47000,47000
2024-12-19,48.0,48.0,48.0,48.0,4.35,2000,96000,96000
2024-12-17,46.0,46.0,46.0,46.0,2.22,900,41400,41400
2024-12-11,45.0,45.0,45.0,45.0,0.0,225,10125,10125
2024-12-10,45.0,45.0,45.0,45.0,0.0,3000,135000,135000
2024-12-05,45.0,45.0,45.0,45.0,0.0,10,450,450
2024-12-04,45.0,45.0,45.0,45.0,0.0,2000,90000,90000
2024-11-22,45.0,45.0,45.0,45.0,0.0,350,15750,15750
2024-11-20,45.0,45.0,45.0,45.0,0.0,1500,67500,67500
2024-11-13,45.0,45.0,45.0,45.0,0.0,3000,135000,135000
2024-11-12,45.0,45.0,45.0,45.0,0.0,1631,73395,73395
2024-11-11,45.0,45.0,45.0,45.0,0.0,1800,81000,81000
2024-11-08,45.0,45.0,45.0,45.0,0.0,1000,45000,45000
2024-11-04,45.0,45.0,45.0,45.0,0.0,200,9000,9000
2024-09-25,45.0,45.0,45.0,45.0,0.0,800,36000,36000
2024-09-23,45.0,45.0,45.0,45.0,0.0,1380,62100,62100
2024-09-11,45.0,45.0,45.0,45.0,0.0,166,7470,7470
2024-09-03,45.0,45.0,45.0,45.0,0.0,152,6840,6840
2024-08-01,45.0,45.0,45.0,45.0,0.0,284,12780,12780
2024-07-03,45.0,45.0,45.0,45.0,0.0,2550,114750,114750
2024-07-01,45.0,45.0,45.0,45.0,-11.76,100,4500,4500
2024-06-03,51.0,51.0,51.0,51.0,-1.92,250,12750,12750
2024-05-30,52.0,52.0,52.0,52.0,0.0,1730,89960,89960
2024-05-27,52.0,52.0,52.0,52.0,1.96,1025,53300,53300
2024-04-26,51.0,51.0,51.0,51.0,0.0,360,18360,18360
2024-04-15,51.0,51.0,51.0,51.0,0.0,70,3570,3570
2024-04-12,51.0,51.0,51.0,51.0,-1.92,570,29070,29070
2024-03-21,52.0,52.0,52.0,52.0,0.0,86,4472,4472
2024-03-18,52.0,52.0,52.0,52.0,0.0,352,18304,18304
2024-03-14,52.0,52.0,52.0,52.0,1.96,636,33072,33072
2024-03-05,51.0,51.0,51.0,51.0,0.0,964,49164,49164
2024-02-13,51.0,51.0,51.0,51.0,2.0,270,13770,13770
2024-02-07,50.0,50.0,50.0,50.0,0.0,100,5000,5000
2023-12-05,50.0,50.0,50.0,50.0,0.0,200,10000,10000
2023-11-29,50.0,50.0,50.0,50.0,0.0,199,9950,9950
2023-11-27,50.0,50.0,50.0,50.0,0.0,912,45600,45600
2023-11-24,50.0,50.0,50.0,50.0,0.0,2000,100000,100000
2023-11-23,50.0,50.0,50.0,50.0,0.0,2000,100000,100000
2023-11-15,50.0,50.0,50.0,50.0,0.0,1500,75000,2465000
2023-11-14,50.0,50.0,50.0,50.0,0.0,2617,130850,130850
2023-11-03,50.0,50.0,50.0,50.0,0.0,2000,100000,100000
2023-11-02,50.0,50.0,50.0,50.0,0.0,1760,88000,88000
2023-11-01,50.0,50.0,50.0,50.0,0.0,762,38100,38100
2023-10-27,50.0,50.0,50.0,50.0,0.0,3000,150000,150000
2023-10-26,50.0,50.0,50.0,50.0,0.0,1000,50000,50000
2023-10-25,50.0,50.0,50.0,50.0,0.0,6000,300000,300000
2023-10-24,50.0,50.0,50.0,50.0,0.0,1500,75000,75000
2023-10-20,50.0,50.0,50.0,50.0,0.0,1500,75000,75000
2023-10-19,50.0,50.0,50.0,50.0,0.0,1200,60000,60000
2023-10-05,50.0,50.0,50.0,50.0,0.0,90,4500,4500
2023-10-03,50.0,50.0,50.0,50.0,0.0,300,15000,15000
2023-09-25,50.0,50.0,50.0,50.0,0.0,563,28150,28150
2023-09-13,50.0,50.0,50.0,50.0,0.0,785,39250,39250
2023-08-14,50.0,50.0,50.0,50.0,0.0,190,9500,9500
2023-08-08,50.0,50.0,50.0,50.0,0.0,769,38450,38450
2023-06-30,50.0,50.0,50.0,50.0,-1.96,320,16000,16000
2023-06-01,51.0,51.0,51.0,51.0,-1.92,2450,124950,124950
2023-04-07,52.0,52.0,52.0,52.0,0.0,2150,111800,111800
2023-03-30,52.0,52.0,52.0,52.0,0.0,160,8320,8320
2023-03-22,52.0,52.0,52.0,52.0,0.0,1000,52000,52000
2023-02-28,52.0,52.0,52.0,52.0,0.0,25,1300,1300
2023-02-17,52.0,52.0,52.0,52.0,0.0,120,6240,6240
2023-02-10,52.0,52.0,52.0,52.0,0.0,170,8840,8840
2023-01-12,52.0,52.0,52.0,52.0,0.29,400,20800,20800
2022-12-29,52.0,52.0,51.0,51.85,1.67,410,21260,21260
2022-12-26,51.0,51.0,51.0,51.0,0.0,2491,127041,127041
2022-12-22,51.0,51.0,51.0,51.0,-1.92,475,24225,24225
2022-12-20,52.0,52.0,52.0,52.0,0.0,610,31720,31720
2022-12-16,52.0,52.0,52.0,52.0,1.96,100,5200,5200
2022-12-13,51.0,51.0,51.0,51.0,0.0,900,45900,45900
2022-12-05,51.0,51.0,51.0,51.0,2.0,953,48603,48603
2022-11-17,50.0,50.0,50.0,50.0,0.0,1000,50000,50000
2022-11-16,50.0,50.0,50.0,50.0,-12.28,2000,100000,100000
2022-11-07,57.0,57.0,57.0,57.0,1.79,906,51642,51642
2022-11-01,56.0,56.0,56.0,56.0,0.0,1500,84000,84000
2022-10-25,56.0,56.0,56.0,56.0,1.82,2500,140000,140000
2022-09-27,55.0,55.0,55.0,55.0,-1.79,2500,137500,137500
2022-09-21,56.0,56.0,56.0,56.0,3.7,888,49728,49728
2022-09-14,54.0,54.0,54.0,54.0,0.0,578,31212,31212
2022-09-13,54.0,54.0,54.0,54.0,1.89,578,31212,31212
2022-09-02,53.0,53.0,53.0,53.0,1.92,1000,53000,53000
2022-08-24,52.0,52.0,52.0,52.0,1.96,1000,52000,52000
2022-08-11,51.0,51.0,51.0,51.0,0.0,1324,67524,67524
2022-07-27,51.0,51.0,51.0,51.0,0.0,140,7140,7140
2022-07-26,51.0,51.0,51.0,51.0,0.0,863,44013,44013
2022-06-23,51.0,51.0,51.0,51.0,0.0,395,20145,20145
2022-06-15,51.0,51.0,51.0,51.0,0.0,2011,102561,102561
2022-06-13,51.0,51.0,51.0,51.0,-32.0,500,25500,25500
2022-06-03,75.0,75.0,75.0,75.0,47.06,50,3750,3750
2022-06-02,51.0,51.0,51.0,51.0,0.0,680,34680,34680
2022-06-01,51.0,51.0,51.0,51.0,0.0,456,23256,23256
2022-05-31,51.0,51.0,51.0,51.0,0.0,244,12444,12444
2022-05-25,51.0,51.0,51.0,51.0,0.0,500,25500,25500
2022-04-27,51.0,51.0,51.0,51.0,2.0,550,28050,28050
2022-04-19,50.0,50.0,50.0,50.0,-1.96,30,1500,1500
2022-03-21,51.0,51.0,51.0,51.0,0.0,300,15300,15300
2022-03-15,51.0,51.0,51.0,51.0,0.0,9300,474300,474300
2022-01-28,51.0,51.0,51.0,51.0,2.0,514,26214,26214
2021-12-28,50.0,50.0,50.0,50.0,0.0,1000,50000,50000
2021-12-27,50.0,50.0,50.0,50.0,-1.96,1000,50000,50000
