record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,2954.0,2954.0,2954.0,2954.0,-3.15,10,29540,29540
2025-01-16,3050.0,3050.0,3050.0,3050.0,1.67,10,30500,30500
2025-01-13,3000.0,3000.0,3000.0,3000.0,0.0,100,300000,300000
2024-12-27,3000.0,3000.0,3000.0,3000.0,0.0,30,90000,90000
2024-12-26,3000.0,3000.0,3000.0,3000.0,-0.03,40,120000,120000
2024-12-25,3001.0,3001.0,3001.0,3001.0,0.03,32,96032,96032
2024-12-19,3000.0,3000.0,3000.0,3000.0,0.0,17,51000,51000
2024-12-10,3000.0,3000.0,3000.0,3000.0,-9.09,24,72000,72000
2024-12-04,3300.0,3300.0,3300.0,3300.0,0.0,456,1504800,1504800
2024-11-19,3300.0,3300.0,3300.0,3300.0,0.0,30,99000,99000
2024-11-18,3300.0,3300.0,3300.0,3300.0,0.0,70,231000,231000
2024-11-15,3300.0,3300.0,3300.0,3300.0,0.0,1724,5689200,7999200
2024-11-11,3300.0,3300.0,3300.0,3300.0,0.0,385,1270500,1270500
2024-10-31,3300.0,3300.0,3300.0,3300.0,1.51,836,2758800,2758800
2024-10-28,3300.0,3300.0,3250.0,3251.03,1.59,242,786750,41300850
2024-10-24,3200.0,3200.0,3200.0,3200.0,0.0,150,480000,480000
2024-10-22,3200.0,3200.0,3200.0,3200.0,0.0,90,288000,288000
2024-10-18,3200.0,3200.0,3200.0,3200.0,0.0,111,355200,355200
2024-10-16,3200.0,3200.0,3200.0,3200.0,0.0,504,1612800,1612800
2024-10-14,3200.0,3200.0,3200.0,3200.0,-1.52,540,1728000,1728000
2024-10-10,3250.0,3250.0,3220.0,3249.45,1.52,219,711630,29895930
2024-10-09,3201.0,3201.0,3200.0,3200.78,0.02,654,2093308,2093308
2024-10-08,3200.0,3200.0,3200.0,3200.0,0.0,156,499200,499200
2024-10-07,3199.0,3200.0,3199.0,3199.87,0.0,1145,3663847,3663847
2024-10-04,3200.0,3200.0,3200.0,3200.0,0.0,9408,30105600,30105600
2024-10-02,3200.0,3200.0,3200.0,3200.0,0.0,352,1126400,1126400
2024-10-01,3200.0,3200.0,3200.0,3200.0,0.0,100,320000,320000
2024-09-23,3220.0,3220.0,3200.0,3200.05,-0.93,432,1382420,1382420
2024-09-20,3230.0,3230.0,3230.0,3230.0,-0.57,70,226100,226100
2024-09-19,3250.0,3250.0,3200.0,3248.61,1.49,3614,11740480,16862480
2024-09-18,3201.0,3201.0,3200.0,3200.83,0.03,90,288075,288075
2024-09-17,3200.0,3200.0,3200.0,3200.0,0.0,15,48000,48000
2024-09-16,3200.0,3200.0,3200.0,3200.0,0.0,1167,3734400,9294752
2024-09-13,3200.0,3201.0,3200.0,3200.05,0.0,1344,4300862,4300862
2024-09-12,3200.0,3200.0,3199.0,3199.97,6.12,3839,12284683,12284683
2024-09-11,3015.0,3016.0,3015.0,3015.55,0.02,40,120622,120622
2024-09-10,3015.0,3015.0,3015.0,3015.0,-7.55,17,51255,51255
2024-08-29,3250.0,3270.0,3250.0,3261.05,0.52,324,1056580,1056580
2024-08-27,3275.0,3298.0,3199.0,3244.2,1.3,3016,9784516,9784516
2024-08-23,3210.0,3210.0,3150.0,3202.64,0.08,1849,5921677,5921677
2024-08-19,3200.0,3200.0,3200.0,3200.0,0.31,51,163200,163200
2024-08-16,3190.0,3190.0,3190.0,3190.0,-4.77,30,95700,95700
2024-08-14,3341.0,3350.0,3341.0,3349.73,-9.76,134,448864,448864
2024-08-08,3700.0,4000.0,3699.0,3712.2,0.35,660,2450052,2450052
