record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,2800.0,2859.0,2790.0,2812.55,-1.59,238,669387,669387
2025-01-16,2850.0,2890.0,2850.0,2857.98,-1.42,401,1146050,1146050
2025-01-15,2899.0,2900.0,2898.0,2899.03,-1.42,176,510229,510229
2025-01-13,2930.0,2948.0,2930.0,2940.9,0.09,179,526421,526421
2025-01-10,2945.0,2949.0,2900.0,2938.11,0.57,1509,4433610,4433610
2025-01-09,2900.0,2950.0,2900.0,2921.45,1.13,1249,3648886,6598886
2025-01-08,2859.0,2948.0,2859.0,2888.92,-3.3,518,1496458,1496458
2025-01-03,2985.0,2990.0,2985.0,2987.37,-0.05,1216,3632639,3632639
2025-01-02,2990.0,3000.0,2985.0,2988.92,0.52,553,1652870,1652870
2024-12-30,2960.0,2984.0,2930.0,2973.47,2.49,1498,4454265,4454265
2024-12-27,2925.0,2950.0,2825.0,2901.18,5.75,6208,18010543,18010543
2024-12-26,2790.0,2799.0,2650.0,2743.44,4.63,4978,13656850,13656850
2024-12-25,2650.0,2650.0,2590.0,2622.06,3.69,1410,3697100,3697100
2024-12-24,2550.0,2550.0,2500.0,2528.84,1.72,1183,2991619,2991619
2024-12-23,2500.0,2500.0,2469.0,2486.19,3.32,2175,5407453,5407453
2024-12-20,2440.0,2450.0,2400.0,2406.3,0.65,1295,3116162,3116162
2024-12-19,2400.0,2401.0,2377.0,2390.83,0.58,960,2295198,2295198
2024-12-18,2377.0,2378.0,2375.0,2376.93,2.93,305,724965,724965
2024-12-17,2320.0,2320.0,2290.0,2309.26,0.01,677,1563370,1563370
2024-12-16,2300.0,2340.0,2300.0,2309.03,-0.4,440,1015975,1015975
2024-12-13,2300.0,2330.0,2300.0,2318.23,2.8,453,1050160,1050160
2024-12-12,2276.0,2276.0,2212.0,2255.14,2.04,794,1790583,1790583
2024-12-11,2210.0,2210.0,2210.0,2210.0,0.45,1350,2983500,2983500
2024-12-10,2200.0,2200.0,2200.0,2200.0,0.24,390,858000,858000
2024-12-06,2200.0,2279.0,2150.0,2194.76,0.28,524,1150053,1150053
2024-12-05,2180.0,2200.0,2150.0,2188.7,1.73,270,590950,590950
2024-12-04,2150.0,2169.0,2149.0,2151.55,2.15,265,570161,570161
2024-12-03,2136.0,2136.0,2101.0,2106.19,0.29,104,219044,219044
2024-12-02,2100.0,2100.0,2100.0,2100.0,0.0,276,579600,579600
2024-11-29,2100.0,2100.0,2100.0,2100.0,-0.71,27,56700,56700
2024-11-28,2115.0,2115.0,2115.0,2115.0,-0.67,10,21150,21150
2024-11-27,2130.0,2130.0,2129.0,2129.23,0.12,130,276800,276800
2024-11-26,2120.0,2132.0,2120.0,2126.77,-0.29,288,612509,612509
2024-11-25,2133.0,2133.0,2130.0,2132.85,2.98,402,857406,857406
2024-11-22,2050.0,2124.0,2050.0,2071.14,-0.81,70,144980,144980
2024-11-20,2088.0,2088.0,2088.0,2088.0,0.78,10,20880,20880
2024-11-19,2088.0,2088.0,1961.0,2071.82,-0.79,467,967541,967541
2024-11-18,2088.0,2089.0,2088.0,2088.42,2.94,360,751830,751830
2024-11-15,2029.0,2029.0,2028.0,2028.71,2.6,350,710050,710050
2024-11-14,1960.0,2000.0,1960.0,1977.39,0.89,92,181920,181920
2024-11-13,1960.0,1960.0,1960.0,1960.0,0.0,240,470400,470400
2024-11-12,1960.0,1960.0,1960.0,1960.0,-0.2,1,1960,1960
2024-11-11,1963.0,1965.0,1963.0,1963.83,-0.01,190,373127,373127
2024-11-08,1964.0,1964.0,1964.0,1964.0,-0.27,155,304420,304420
2024-11-07,1967.0,1975.0,1967.0,1969.28,-0.28,642,1264276,1264276
2024-11-06,1975.0,1990.0,1970.0,1974.75,0.29,295,582550,582550
2024-11-05,1969.0,1969.0,1969.0,1969.0,-1.4,25,49225,49225
2024-11-04,1997.0,1997.0,1997.0,1997.0,0.0,27,53919,53919
2024-11-01,1997.0,1997.0,1997.0,1997.0,2.02,138,275586,275586
2024-10-31,1960.0,1960.0,1950.0,1957.51,0.99,1065,2084750,2084750
2024-10-30,1938.0,1949.0,1920.0,1938.29,0.95,434,841220,841220
2024-10-28,1920.0,1920.0,1920.0,1920.0,0.35,115,220800,220800
2024-10-25,1900.0,1919.0,1900.0,1913.26,-0.35,43,82270,82270
2024-10-22,1920.0,1920.0,1920.0,1920.0,0.0,300,576000,576000
