record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,140.0,140.0,140.0,140.0,2.87,250,35000,35000
2025-01-13,136.0,137.0,136.0,136.1,-0.64,1000,136100,136100
2025-01-10,138.0,138.0,136.0,136.97,0.71,5801,794538,794538
2025-01-02,136.0,136.0,136.0,136.0,0.81,800,108800,108800
2024-12-24,135.0,135.0,130.0,134.91,2.98,2750,371000,371000
2024-12-23,131.0,131.0,131.0,131.0,-2.3,79,10349,10349
2024-12-20,135.0,135.0,129.0,134.08,-0.68,7229,969251,969251
2024-12-17,129.0,138.0,129.0,135.0,0.0,1740,234906,234906
2024-12-16,135.0,135.0,135.0,135.0,0.0,100,13500,13500
2024-12-13,135.0,135.0,135.0,135.0,0.0,40,5400,5400
2024-12-12,135.0,135.0,135.0,135.0,-0.74,100,13500,13500
2024-12-11,136.0,136.0,136.0,136.0,0.74,500,68000,68000
2024-12-10,135.0,135.0,135.0,135.0,-0.74,2926,395010,395010
2024-12-06,136.0,136.0,136.0,136.0,0.74,135,18360,18360
2024-12-05,135.0,135.0,135.0,135.0,0.0,526,71010,71010
2024-12-04,135.0,135.0,135.0,135.0,0.0,1320,178200,178200
2024-12-03,135.0,135.0,135.0,135.0,-0.74,50,6750,6750
2024-11-29,136.0,136.0,136.0,136.0,-2.86,230,31280,31280
2024-11-28,140.0,140.0,140.0,140.0,3.67,300,42000,42000
2024-11-27,135.0,136.0,135.0,135.05,-1.06,1377,185965,185965
2024-11-26,136.0,137.0,136.0,136.5,-1.6,1300,177450,177450
2024-11-25,139.0,139.0,138.0,138.72,2.76,3513,487307,487307
2024-11-22,135.0,135.0,135.0,135.0,0.0,135,18225,18225
2024-11-21,135.0,135.0,135.0,135.0,0.84,1290,174150,174150
2024-11-20,133.0,136.0,133.0,133.87,0.65,2583,345789,345789
2024-11-19,133.0,133.0,133.0,133.0,0.0,1871,248843,248843
2024-11-18,133.0,133.0,133.0,133.0,-0.94,500,66500,66500
2024-11-12,135.0,135.0,133.0,134.26,-0.55,3106,417010,417010
2024-11-11,135.0,135.0,135.0,135.0,0.0,786,106110,106110
2024-11-08,135.0,135.0,135.0,135.0,0.0,678,91530,91530
2024-11-07,135.0,135.0,135.0,135.0,1.76,988,133380,133380
2024-11-06,132.0,133.0,132.0,132.66,-1.73,623,82646,82646
2024-11-01,135.0,135.0,135.0,135.0,0.0,850,114750,114750
2024-10-29,135.0,135.0,135.0,135.0,0.0,927,125145,125145
2024-10-25,135.0,135.0,135.0,135.0,0.0,2513,339255,339255
2024-10-24,135.0,135.0,135.0,135.0,1.5,950,128250,128250
2024-10-22,133.0,133.0,133.0,133.0,-1.48,90,11970,11970
2024-10-17,135.0,135.0,135.0,135.0,-0.47,1000,135000,135000
2024-10-09,135.0,136.0,135.0,135.64,-0.26,700,94950,94950
2024-10-07,136.0,136.0,136.0,136.0,0.0,250,34000,34000
2024-10-03,136.0,136.0,136.0,136.0,-1.9,100,13600,13600
2024-10-02,140.0,140.0,137.0,138.63,-0.98,1835,254395,254395
2024-10-01,140.0,140.0,140.0,140.0,3.7,300,42000,42000
2024-09-25,135.0,135.0,135.0,135.0,2.27,1740,234900,234900
2024-09-24,132.0,132.0,132.0,132.0,0.0,120,15840,15840
2024-09-19,132.0,132.0,132.0,132.0,-1.49,209,27588,27588
2024-09-18,134.0,134.0,134.0,134.0,-2.88,190,25460,25460
2024-09-13,139.0,139.0,136.0,137.98,2.21,440,60710,60710
2024-09-06,135.0,135.0,135.0,135.0,0.0,445,60075,60075
2024-09-05,135.0,135.0,135.0,135.0,0.0,400,54000,54000
2024-08-29,135.0,135.0,135.0,135.0,0.0,350,47250,47250
2024-08-27,135.0,135.0,135.0,135.0,0.0,793,107055,107055
2024-08-23,135.0,135.0,135.0,135.0,-2.88,175,23625,23625
2024-08-12,139.0,139.0,139.0,139.0,-0.71,5100,708900,708900
2024-08-05,140.0,140.0,140.0,140.0,0.0,457,63980,63980
2024-07-31,140.0,140.0,140.0,140.0,-4.11,457,63980,63980
2024-07-30,146.0,146.0,146.0,146.0,4.29,90,13140,13140
2024-07-29,140.0,140.0,140.0,140.0,0.0,5671,793940,793940
2024-07-26,140.0,140.0,140.0,140.0,0.0,1760,246400,246400
2024-07-24,140.0,140.0,140.0,140.0,2.19,200,28000,28000
2024-07-23,137.0,137.0,137.0,137.0,-0.38,543,74391,74391
2024-07-22,138.0,138.0,135.0,137.52,4.18,1244,171072,171072
2024-07-18,132.0,132.0,132.0,132.0,-3.39,900,118800,118800
2024-07-17,136.0,137.0,136.0,136.63,0.46,1325,181035,181035
2024-07-15,136.0,136.0,136.0,136.0,-0.58,9000,1224000,1224000
2024-07-05,138.0,138.0,136.0,136.8,1.33,836,114368,114368
2024-07-04,135.0,135.0,135.0,135.0,-2.88,1000,135000,135000
2024-06-19,139.0,139.0,139.0,139.0,0.0,100,13900,13900
2024-06-13,139.0,139.0,139.0,139.0,-2.48,1000,139000,139000
2024-06-07,143.0,143.0,133.0,142.54,9.65,36757,5239356,5239356
2024-05-30,130.0,130.0,130.0,130.0,-0.31,3146,408980,408980
2024-05-27,130.0,131.0,130.0,130.4,-0.46,2334,304360,304360
2024-05-23,131.0,131.0,131.0,131.0,-1.5,1000,131000,131000
2024-05-17,133.0,133.0,133.0,133.0,2.06,172,22876,22876
2024-05-16,130.0,131.0,130.0,130.31,0.24,1951,254239,254239
2024-05-13,130.0,130.0,130.0,130.0,-0.76,1223,158990,158990
2024-05-09,131.0,131.0,131.0,131.0,0.36,500,65500,65500
2024-05-07,130.0,131.0,130.0,130.53,-1.11,935,122050,122050
2024-04-25,132.0,132.0,132.0,132.0,0.0,230,30360,30360
2024-04-22,132.0,132.0,132.0,132.0,-1.13,79,10428,10428
2024-04-19,132.0,134.0,132.0,133.51,-3.25,831,110944,110944
2024-04-17,138.0,138.0,138.0,138.0,5.34,113,15594,15594
2024-04-15,131.0,131.0,131.0,131.0,-3.68,590,77290,77290
2024-04-12,136.0,136.0,136.0,136.0,-1.45,1916,260576,260576
2024-04-11,138.0,138.0,138.0,138.0,2.65,1000,138000,138000
2024-04-04,135.0,135.0,134.0,134.44,0.33,900,121000,121000
2024-04-02,134.0,134.0,134.0,134.0,0.75,927,124218,124218
2024-03-28,133.0,133.0,133.0,133.0,0.23,1690,224770,224770
2024-03-22,133.0,133.0,132.0,132.7,0.05,891,118238,118238
2024-03-20,133.0,133.0,132.0,132.63,-0.28,894,118572,118572
2024-03-18,133.0,133.0,133.0,133.0,0.95,100,13300,13300
2024-03-15,132.0,132.0,131.0,131.75,1.53,806,106192,106192
2024-03-14,130.0,130.0,127.0,129.76,2.17,1904,247056,247056
2024-03-13,127.0,127.0,127.0,127.0,-2.31,1224,155448,155448
2024-03-11,130.0,130.0,130.0,130.0,-2.4,2161,280930,280930
2024-03-06,134.0,134.0,133.0,133.2,0.15,3811,507638,507638
2024-03-05,133.0,133.0,133.0,133.0,-4.32,110,14630,14630
2024-02-28,139.0,139.0,139.0,139.0,-0.71,493,68527,68527
2024-02-27,140.0,140.0,140.0,140.0,-3.45,900,126000,126000
2024-02-21,145.0,145.0,145.0,145.0,0.69,20,2900,2900
2024-02-19,144.0,144.0,144.0,144.0,2.86,425,61200,61200
2024-02-16,140.0,140.0,140.0,140.0,2.19,860,120400,120400
2024-02-15,137.0,137.0,137.0,137.0,-2.14,160,21920,21920
2024-02-14,140.0,140.0,140.0,140.0,2.19,630,88200,88200
2024-02-13,137.0,137.0,137.0,137.0,-2.14,3141,430317,430317
2024-02-09,140.0,140.0,140.0,140.0,0.0,560,78400,78400
2024-02-08,140.0,140.0,140.0,140.0,0.0,550,77000,77000
2024-02-07,140.0,140.0,140.0,140.0,-1.96,500,70000,70000
2024-02-02,140.0,145.0,140.0,142.8,-0.83,3190,455535,455535
2024-02-01,144.0,144.0,144.0,144.0,5.88,50,7200,7200
2024-01-30,136.0,136.0,136.0,136.0,-1.45,19,2584,2584
2024-01-25,138.0,138.0,138.0,138.0,0.0,942,129996,129996
2024-01-22,138.0,138.0,138.0,138.0,-0.72,558,77004,77004
2024-01-18,139.0,139.0,139.0,139.0,-0.56,1427,198353,198353
2024-01-17,139.0,141.0,139.0,139.78,-3.6,2303,321917,321917
2024-01-12,145.0,145.0,145.0,145.0,0.0,237,34365,34365
2024-01-09,145.0,145.0,145.0,145.0,0.74,2595,376275,376275
2024-01-05,145.0,152.0,140.0,143.93,3.55,2700,388600,388600
2024-01-04,139.0,139.0,139.0,139.0,6.92,928,128992,128992
2024-01-03,130.0,130.0,130.0,130.0,2.36,1022,132860,132860
2024-01-02,127.0,127.0,127.0,127.0,0.0,578,73406,73406
2023-12-20,127.0,127.0,127.0,127.0,0.0,65,8255,8255
2023-12-19,127.0,127.0,127.0,127.0,0.0,485,61595,61595
2023-12-05,127.0,127.0,127.0,127.0,-0.78,1548,196596,196596
2023-11-30,128.0,128.0,128.0,128.0,0.0,207,26496,26496
2023-11-28,128.0,128.0,128.0,128.0,0.77,1326,169728,169728
2023-11-24,128.0,128.0,125.0,127.02,0.02,7468,948611,948611
2023-11-21,127.0,127.0,127.0,127.0,0.0,1200,152400,152400
2023-11-20,127.0,127.0,127.0,127.0,0.0,1543,195961,195961
2023-11-17,127.0,127.0,127.0,127.0,0.0,11704,1486408,1486408
2023-11-16,127.0,127.0,127.0,127.0,0.0,1192,151384,151384
2023-11-15,127.0,127.0,127.0,127.0,-0.5,1000,127000,127000
2023-11-10,128.0,128.0,125.0,127.64,-0.28,4500,574390,574390
2023-10-26,128.0,128.0,128.0,128.0,0.79,7700,985600,985600
2023-10-24,127.0,127.0,127.0,127.0,-1.55,5150,654050,654050
2023-10-18,129.0,129.0,129.0,129.0,0.89,1635,210915,210915
2023-10-17,127.0,128.0,127.0,127.86,-0.71,702,89756,89756
2023-10-16,129.0,129.0,128.0,128.77,-0.79,900,115895,115895
2023-10-05,130.0,130.0,129.0,129.79,0.07,900,116810,116810
2023-10-04,130.0,130.0,129.0,129.7,2.13,1345,174452,174452
2023-10-02,127.0,127.0,127.0,127.0,0.79,2035,258445,258445
2023-09-26,126.0,126.0,126.0,126.0,-0.79,400,50400,50400
2023-09-20,127.0,127.0,127.0,127.0,-0.78,2235,283845,283845
2023-09-15,128.0,128.0,128.0,128.0,2.4,746,95488,95488
2023-09-14,125.0,125.0,125.0,125.0,0.0,3000,375000,375000
2023-09-13,125.0,125.0,125.0,125.0,0.0,505,63125,63125
2023-09-12,125.0,125.0,125.0,125.0,-1.57,277,34625,34625
2023-09-11,127.0,127.0,127.0,127.0,0.0,23,2921,2921
2023-09-01,127.0,127.0,127.0,127.0,-0.78,3965,503555,503555
2023-08-30,128.0,128.0,128.0,128.0,-0.53,4333,554624,554624
2023-08-21,130.0,130.0,128.0,128.68,0.53,835,107450,107450
2023-08-17,128.0,128.0,128.0,128.0,0.79,1500,192000,192000
2023-08-16,127.0,127.0,127.0,127.0,-0.78,1500,190500,190500
2023-08-10,128.0,128.0,128.0,128.0,0.0,1607,205696,205696
2023-08-09,128.0,128.0,127.0,128.0,0.0,21000,2687940,2687940
2023-08-04,128.0,128.0,128.0,128.0,0.69,792,101376,101376
2023-07-28,128.0,128.0,127.0,127.12,-2.22,500,63560,63560
2023-07-27,130.0,130.0,130.0,130.0,0.0,100,13000,13000
2023-07-21,130.0,130.0,130.0,130.0,1.14,1200,156000,156000
