record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,421.0,421.0,400.0,403.45,-1.52,3283,1324534,1324534
2025-01-16,410.0,410.0,408.0,409.67,0.04,666,272840,272840
2025-01-15,409.0,410.0,409.0,409.5,-0.12,400,163800,163800
2025-01-14,410.0,410.0,410.0,410.0,0.22,830,340300,340300
2025-01-13,410.0,410.0,407.0,409.08,-0.01,199,81407,81407
2025-01-10,410.0,410.0,407.0,409.14,1.26,1323,541290,541290
2025-01-09,404.0,412.0,401.0,404.03,1.01,2429,981382,981382
2024-12-30,400.0,400.0,400.0,400.0,0.0,950,380000,380000
2024-12-27,400.0,400.0,400.0,400.0,0.0,9000,3600000,5600000
2024-12-26,400.0,400.0,400.0,400.0,0.5,2423,969200,2969200
2024-12-25,398.0,398.0,398.0,398.0,-0.5,272,108256,6108256
2024-12-24,400.0,400.0,400.0,400.0,0.0,1204,481600,2881600
2024-12-23,400.0,400.0,400.0,400.0,0.2,793,317200,317200
2024-12-20,400.0,400.0,395.0,399.19,-0.2,3570,1425100,1425100
2024-12-19,400.0,405.0,400.0,400.01,0.0,2470,988025,988025
2024-12-18,400.0,400.0,400.0,400.0,0.0,4370,1748000,1748000
2024-12-16,400.0,400.0,400.0,400.0,0.0,6178,2471200,2471200
2024-12-13,400.0,400.0,400.0,400.0,-0.04,2360,944000,944000
2024-12-12,400.0,405.0,400.0,400.17,0.04,4104,1642305,1642305
2024-12-11,400.0,400.0,400.0,400.0,-0.2,1055,422000,422000
2024-12-10,400.0,401.0,400.0,400.82,0.17,1847,740317,740317
2024-12-06,400.0,401.0,400.0,400.14,0.01,8017,3207897,3207897
2024-12-05,400.0,405.0,400.0,400.1,0.02,2105,842200,842200
2024-12-04,400.0,400.0,400.0,400.0,-0.07,800,320000,320000
2024-12-03,400.0,401.0,400.0,400.3,0.07,9319,3730380,3730380
2024-12-02,400.0,401.0,400.0,400.03,-0.01,1146,458440,458440
2024-11-29,405.0,405.0,400.0,400.06,-0.03,1790,716100,716100
2024-11-28,400.0,404.0,400.0,400.18,-0.9,912,364968,364968
2024-11-27,403.0,404.0,403.0,403.8,-0.45,1250,504750,504750
