record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,2780.0,2780.0,2780.0,2780.0,0.0,10,27800,27800
2025-01-16,2780.0,2780.0,2780.0,2780.0,-0.54,30,83400,83400
2025-01-15,2795.0,2795.0,2795.0,2795.0,-0.14,50,139750,139750
2025-01-14,2799.0,2799.0,2799.0,2799.0,-1.79,50,139950,139950
2024-12-24,2850.0,2850.0,2850.0,2850.0,1.79,11,31350,31350
2024-12-23,2800.0,2800.0,2800.0,2800.0,-0.46,50,140000,140000
2024-12-20,2813.0,2813.0,2813.0,2813.0,0.0,53,149089,149089
2024-12-19,2813.0,2813.0,2813.0,2813.0,-3.0,30,84390,84390
2024-11-26,2900.0,2900.0,2900.0,2900.0,6.95,4,11600,11600
2024-11-25,2715.0,2715.0,2700.0,2711.55,2.32,87,235905,235905
2024-11-19,2650.0,2650.0,2650.0,2650.0,0.3,18,47700,47700
2024-11-12,2650.0,2650.0,2635.0,2642.14,0.27,105,277425,277425
2024-11-07,2635.0,2635.0,2635.0,2635.0,-2.98,160,421600,421600
2024-10-08,2716.0,2716.0,2716.0,2716.0,-3.0,70,190120,190120
2024-09-13,2800.0,2800.0,2800.0,2800.0,-1.75,40,112000,112000
2024-09-06,2850.0,2850.0,2850.0,2850.0,0.0,17,48450,48450
2024-09-03,2850.0,2850.0,2850.0,2850.0,-1.69,50,142500,142500
2024-08-30,2899.0,2899.0,2899.0,2899.0,-1.73,95,275405,275405
2024-08-15,2950.0,2950.0,2950.0,2950.0,-0.41,1,2950,2950
2024-08-08,2962.0,2962.0,2962.0,2962.0,-2.97,60,177720,177720
2024-07-31,3149.0,3150.0,2870.0,3052.67,6.36,903,2756561,12742061
2024-07-25,2870.0,2870.0,2870.0,2870.0,0.0,22,63140,63140
2024-07-24,2870.0,2870.0,2870.0,2870.0,0.0,2,5740,5740
2024-07-19,2870.0,2870.0,2870.0,2870.0,-3.37,10,28700,28700
2024-07-17,2970.0,2970.0,2970.0,2970.0,10.0,2,5940,5940
2024-07-15,2700.0,2700.0,2700.0,2700.0,-10.0,7,18900,18900
2024-06-14,3000.0,3000.0,3000.0,3000.0,7.18,5,15000,15000
2024-06-13,2799.0,2799.0,2799.0,2799.0,1.78,20,55980,55980
2024-06-12,2750.0,2750.0,2750.0,2750.0,0.36,669,1839750,1839750
2024-06-11,2740.0,2740.0,2740.0,2740.0,1.44,82,224680,224680
2024-06-05,2701.0,2701.0,2701.0,2701.0,-0.55,5,13505,13505
2024-06-03,2716.0,2716.0,2716.0,2716.0,-3.0,122,331352,331352
2024-05-31,2800.0,2800.0,2800.0,2800.0,0.0,400,1120000,1120000
2024-05-27,2800.0,2800.0,2800.0,2800.0,-2.13,128,358400,358400
2024-05-15,2861.0,2861.0,2861.0,2861.0,-2.98,82,234602,234602
2024-05-02,2949.0,2949.0,2949.0,2949.0,-0.67,33,97317,97317
2024-04-26,2969.0,2969.0,2969.0,2969.0,2.38,11,32659,32659
2024-04-25,2900.0,2900.0,2900.0,2900.0,0.66,100,290000,290000
2024-04-23,2881.0,2881.0,2881.0,2881.0,0.0,10,28810,28810
2024-04-22,2881.0,2881.0,2881.0,2881.0,-3.0,100,288100,288100
