record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-16,6600.0,6600.0,6600.0,6600.0,1.54,10,66000,66000
2025-01-03,6500.0,6500.0,6500.0,6500.0,0.0,64,416000,416000
2025-01-02,6500.0,6500.0,6500.0,6500.0,0.0,42,273000,273000
2024-12-30,6500.0,6500.0,6500.0,6500.0,-2.99,10,65000,65000
2024-12-24,6700.0,6700.0,6700.0,6700.0,3.08,1,6700,6700
2024-12-19,6500.0,6500.0,6500.0,6500.0,-0.17,11,71500,71500
2024-12-18,6511.0,6511.0,6511.0,6511.0,0.17,11,71621,71621
2024-12-17,6500.0,6500.0,6500.0,6500.0,-2.99,11,71500,71500
2024-12-10,6700.0,6700.0,6700.0,6700.0,1.52,13,87100,87100
2024-11-21,6600.0,6600.0,6600.0,6600.0,0.0,8,52800,52800
2024-11-11,6600.0,6600.0,6600.0,6600.0,0.0,11,72600,72600
2024-11-08,6600.0,6600.0,6600.0,6600.0,-1.49,1,6600,6600
2024-10-15,6700.0,6700.0,6700.0,6700.0,-0.74,27,180900,180900
2024-10-14,6750.0,6750.0,6750.0,6750.0,0.75,22,148500,148500
2024-09-13,6700.0,6700.0,6700.0,6700.0,0.0,34,227800,227800
2024-08-15,6700.0,6700.0,6700.0,6700.0,0.0,10,67000,67000
2024-08-13,6700.0,6700.0,6700.0,6700.0,0.0,35,234500,234500
2024-07-12,6700.0,6700.0,6700.0,6700.0,0.0,10,67000,67000
2024-07-09,6700.0,6700.0,6700.0,6700.0,0.0,19,127300,127300
2024-07-08,6700.0,6700.0,6700.0,6700.0,0.0,21,140700,140700
2024-06-28,6700.0,6700.0,6700.0,6700.0,0.01,10,67000,67000
2024-05-31,6699.0,6699.0,6699.0,6699.0,0.74,70,468930,468930
2024-05-23,6650.0,6650.0,6650.0,6650.0,1.51,51,339150,339150
2024-05-07,6551.0,6551.0,6551.0,6551.0,0.78,50,327550,327550
2024-03-29,6500.0,6500.0,6500.0,6500.0,1.56,5,32500,32500
2024-03-28,6400.0,6400.0,6400.0,6400.0,0.44,50,320000,320000
2024-03-22,6372.0,6372.0,6372.0,6372.0,2.74,50,318600,318600
2024-03-20,6202.0,6202.0,6202.0,6202.0,0.03,25,155050,155050
2024-03-19,6200.0,6200.0,6200.0,6200.0,-0.34,100,620000,620000
2024-03-08,6221.0,6221.0,6221.0,6221.0,0.32,100,622100,622100
2024-03-07,6201.0,6201.0,6201.0,6201.0,0.8,15,93015,93015
2024-02-27,6152.0,6152.0,6152.0,6152.0,0.03,141,867432,867432
2024-02-26,6150.0,6150.0,6150.0,6150.0,0.82,25,153750,153750
2024-02-20,6100.0,6100.0,6100.0,6100.0,0.0,44,268400,268400
2024-02-19,6100.0,6100.0,6100.0,6100.0,0.0,5,30500,30500
2024-02-05,6100.0,6100.0,6100.0,6100.0,-0.16,48,292800,292800
2024-01-23,6110.0,6110.0,6110.0,6110.0,0.15,14,85540,85540
2023-12-27,6101.0,6101.0,6101.0,6101.0,0.02,40,244040,244040
2023-12-26,6100.0,6100.0,6100.0,6100.0,0.0,113,689300,689300
2023-12-22,6100.0,6100.0,6100.0,6100.0,-0.18,61,372100,372100
2023-12-12,6111.0,6111.0,6111.0,6111.0,0.18,50,305550,305550
2023-12-07,6100.0,6100.0,6100.0,6100.0,1.67,100,610000,610000
2023-11-09,6000.0,6000.0,6000.0,6000.0,0.02,4,24000,24000
2023-11-03,5999.0,5999.0,5999.0,5999.0,0.0,40,239960,239960
2023-11-02,5999.0,5999.0,5999.0,5999.0,4.13,15,89985,89985
2023-09-26,5761.0,5761.0,5761.0,5761.0,1.07,36,207396,207396
2023-08-24,5700.0,5700.0,5700.0,5700.0,-1.47,114,649800,649800
2023-08-16,5785.0,5785.0,5785.0,5785.0,0.96,25,144625,144625
2023-08-15,5730.0,5730.0,5730.0,5730.0,0.33,10,57300,57300
2023-07-28,5711.0,5711.0,5711.0,5711.0,0.0,50,285550,285550
2023-07-25,5711.0,5711.0,5711.0,5711.0,0.0,15,85665,85665
2023-07-11,5711.0,5711.0,5711.0,5711.0,0.14,6,34266,34266
2023-07-06,5703.0,5703.0,5703.0,5703.0,0.02,42,239526,239526
2023-06-16,5702.0,5702.0,5702.0,5702.0,0.0,48,273696,273696
2023-06-15,5702.0,5702.0,5702.0,5702.0,0.65,50,285100,285100
2023-06-05,5665.0,5665.0,5665.0,5665.0,3.0,50,283250,283250
2023-05-02,5500.0,5500.0,5500.0,5500.0,-1.79,162,891000,891000
2023-04-27,5600.0,5600.0,5600.0,5600.0,-1.75,25,140000,140000
2023-04-07,5700.0,5700.0,5700.0,5700.0,0.0,84,478800,478800
2023-04-05,5700.0,5700.0,5700.0,5700.0,-0.4,40,228000,228000
2023-03-29,5723.0,5723.0,5723.0,5723.0,-3.0,20,114460,114460
2023-03-02,5900.0,5900.0,5900.0,5900.0,1.67,30,177000,177000
2023-02-23,5803.0,5803.0,5803.0,5803.0,0.64,40,232120,232120
2023-02-22,5766.0,5766.0,5766.0,5766.0,0.0,15,86490,86490
2023-02-20,5766.0,5766.0,5766.0,5766.0,1.16,48,276768,276768
2023-02-13,5700.0,5700.0,5700.0,5700.0,1.75,30,171000,171000
2023-01-26,5602.0,5602.0,5602.0,5602.0,0.04,156,873912,873912
2023-01-24,5600.0,5600.0,5600.0,5600.0,0.0,178,996800,996800
2023-01-16,5600.0,5600.0,5600.0,5600.0,1.78,48,268800,268800
2022-12-28,5502.0,5502.0,5502.0,5502.0,5.81,171,940842,940842
2022-12-13,5200.0,5200.0,5200.0,5200.0,0.0,125,650000,650000
2022-12-01,5200.0,5200.0,5200.0,5200.0,0.0,15,78000,78000
2022-11-21,5200.0,5200.0,5200.0,5200.0,0.19,98,509600,509600
2022-11-16,5190.0,5190.0,5190.0,5190.0,0.0,30,155700,155700
2022-11-01,5190.0,5190.0,5190.0,5190.0,0.0,45,233550,233550
2022-10-19,5190.0,5190.0,5190.0,5190.0,0.0,20,103800,103800
2022-08-25,5190.0,5190.0,5190.0,5190.0,0.0,69,358110,358110
2022-08-18,5190.0,5190.0,5190.0,5190.0,3.8,15,77850,77850
2022-07-29,5000.0,5000.0,5000.0,5000.0,0.0,27,135000,135000
2022-07-18,5000.0,5000.0,5000.0,5000.0,-0.2,15,75000,75000
2022-06-30,5010.0,5010.0,5010.0,5010.0,0.0,40,200400,200400
2022-06-28,5010.0,5010.0,5010.0,5010.0,-0.1,80,400800,400800
2022-05-31,5015.0,5015.0,5015.0,5015.0,0.2,10,50150,50150
2022-05-25,5005.0,5005.0,5005.0,5005.0,-9.0,6,30030,30030
2022-03-30,5500.0,5500.0,5500.0,5500.0,0.92,146,803000,803000
2022-03-29,5450.0,5450.0,5450.0,5450.0,-0.91,292,1591400,1591400
2022-03-03,5500.0,5500.0,5500.0,5500.0,0.0,60,330000,330000
2022-02-16,5500.0,5500.0,5500.0,5500.0,0.0,20,110000,110000
2022-02-15,5500.0,5500.0,5500.0,5500.0,0.0,100,550000,550000
2022-02-03,5500.0,5500.0,5500.0,5500.0,0.0,45,247500,247500
2022-01-25,5500.0,5500.0,5500.0,5500.0,0.0,22,121000,121000
2022-01-21,5500.0,5500.0,5500.0,5500.0,0.0,153,841500,841500
2021-12-28,5500.0,5500.0,5500.0,5500.0,3.09,14,77000,77000
2021-12-20,5335.0,5335.0,5335.0,5335.0,-3.0,1011,5393685,5393685
2021-12-10,5500.0,5500.0,5500.0,5500.0,0.0,110,605000,605000
2021-12-09,5500.0,5500.0,5500.0,5500.0,0.0,10,55000,55000
2021-11-29,5500.0,5500.0,5500.0,5500.0,-0.23,122,671000,671000
2021-11-23,5500.0,5550.0,5500.0,5512.5,-0.72,40,220500,220500
2021-11-19,5600.0,5600.0,5500.0,5552.63,0.96,38,211000,211000
2021-11-16,5500.0,5500.0,5500.0,5500.0,0.0,149,819500,819500
2021-11-10,5500.0,5500.0,5500.0,5500.0,0.0,10,55000,55000
2021-11-09,5500.0,5500.0,5500.0,5500.0,0.0,65,357500,357500
2021-11-04,5500.0,5500.0,5500.0,5500.0,1.64,113,621500,621500
2021-11-02,5411.0,5411.0,5411.0,5411.0,-1.62,554,2997694,2997694
2021-10-29,5500.0,5500.0,5500.0,5500.0,0.0,114,627000,627000
2021-10-25,5500.0,5500.0,5500.0,5500.0,3.77,190,1045000,1045000
2021-10-07,5300.0,5300.0,5300.0,5300.0,-2.39,106,561800,561800
2021-10-04,5430.0,5430.0,5430.0,5430.0,-0.02,50,271500,271500
2021-09-27,5431.0,5431.0,5431.0,5431.0,0.0,12,65172,65172
2021-09-22,5431.0,5431.0,5431.0,5431.0,1.21,100,543100,543100
2021-09-07,5366.0,5366.0,5366.0,5366.0,2.99,10,53660,53660
2021-08-24,5210.0,5210.0,5210.0,5210.0,0.15,20,104200,104200
2021-08-20,5202.0,5202.0,5202.0,5202.0,0.04,25,130050,130050
2021-08-12,5200.0,5200.0,5200.0,5200.0,0.0,266,1383200,1383200
2021-08-11,5200.0,5200.0,5200.0,5200.0,0.0,100,520000,520000
2021-08-09,5200.0,5200.0,5200.0,5200.0,0.0,15,78000,78000
2021-07-27,5200.0,5200.0,5200.0,5200.0,0.0,14,72800,72800
2021-06-28,5200.0,5200.0,5200.0,5200.0,0.0,25,130000,130000
2021-06-22,5200.0,5200.0,5200.0,5200.0,-0.12,10,52000,52000
2021-06-11,5206.0,5206.0,5206.0,5206.0,-1.77,30,156180,156180
2021-06-04,5300.0,5300.0,5300.0,5300.0,0.0,10,53000,53000
