record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,59600.0,59999.0,59600.0,59983.65,1.6,26,1559575,1559575
2025-01-16,59500.0,59500.0,59000.0,59041.67,0.93,12,708500,708500
2025-01-15,58500.0,58500.0,58500.0,58500.0,0.33,26,1521000,1521000
2025-01-14,58400.0,58400.0,58299.0,58307.85,-0.01,62,3615087,3615087
2025-01-13,58400.0,58500.0,58200.0,58312.3,-0.3,61,3557050,3557050
2025-01-10,58485.0,58500.0,58484.0,58488.44,0.6,71,4152679,4152679
2025-01-09,57998.0,58196.0,57998.0,58139.43,2.9,7,406976,406976
2025-01-08,56501.0,56501.0,56501.0,56501.0,0.18,5,282505,282505
2025-01-03,56400.0,56400.0,56400.0,56400.0,0.42,4,225600,225600
2024-12-30,56001.0,57000.0,56001.0,56162.27,-0.51,62,3482061,3482061
2024-12-27,56450.0,56450.0,56449.0,56449.92,0.8,12,677399,677399
2024-12-26,56001.0,56001.0,56000.0,56000.27,-0.88,15,840004,840004
2024-12-25,56500.0,56500.0,56500.0,56500.0,0.27,6,339000,339000
2024-12-24,56495.0,56499.0,56000.0,56349.82,-0.26,44,2479392,2479392
2024-12-23,56499.0,56499.0,56499.0,56499.0,0.23,5,282495,282495
2024-12-20,56000.0,56500.0,56000.0,56367.72,-0.27,134,7553274,7553274
2024-12-19,56500.0,57500.0,56499.0,56519.21,0.93,135,7630094,7630094
2024-12-18,55999.0,56000.0,55998.0,55998.98,0.0,42,2351957,2351957
2024-12-17,55997.0,56000.0,55996.0,55998.19,-0.75,32,1791942,1791942
2024-12-16,56000.0,57000.0,56000.0,56420.04,-1.02,90,5077804,5077804
2024-12-13,57000.0,57000.0,56999.0,56999.8,2.7,60,3419988,3419988
2024-12-12,55500.0,55500.0,55500.0,55500.0,1.77,5,277500,277500
2024-12-11,54450.0,56000.0,54400.0,54534.85,0.01,33,1799650,1799650
2024-12-10,54500.0,55000.0,54500.0,54531.25,0.88,16,872500,872500
2024-12-06,54500.0,54660.0,53700.0,54055.61,3.57,23,1243279,1243279
2024-12-05,52500.0,52500.0,52000.0,52194.28,2.32,18,939497,939497
2024-12-04,51100.0,51500.0,50500.0,51013.06,1.23,31,1581405,1581405
