record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-17,2100.0,2100.0,2100.0,2100.0,1.46,131,275100,275100
2025-01-16,2100.0,2100.0,2050.0,2069.88,1.14,166,343600,343600
2025-01-14,2070.0,2070.0,2030.0,2046.47,1.81,170,347900,347900
2025-01-13,2010.0,2010.0,2010.0,2010.0,0.5,15,30150,30150
2025-01-09,2000.0,2000.0,2000.0,2000.0,2.56,27,54000,54000
2025-01-08,1950.0,1950.0,1950.0,1950.0,-2.45,219,427050,427050
2025-01-03,1999.0,1999.0,1999.0,1999.0,2.51,58,115942,115942
2024-12-30,1950.0,1950.0,1950.0,1950.0,0.0,39,76050,76050
2024-12-27,1950.0,1950.0,1950.0,1950.0,0.0,657,1281150,1281150
2024-12-26,1950.0,1950.0,1950.0,1950.0,0.03,8,15600,15600
2024-12-25,1950.0,1950.0,1949.0,1949.36,-0.03,69,134506,134506
2024-12-24,1950.0,1950.0,1950.0,1950.0,0.02,25,48750,48750
2024-12-19,1950.0,1950.0,1948.0,1949.57,-0.02,154,300234,300234
2024-12-17,1950.0,1950.0,1950.0,1950.0,0.0,30,58500,58500
2024-12-16,1950.0,1950.0,1950.0,1950.0,0.0,15,29250,29250
2024-12-13,1950.0,1950.0,1950.0,1950.0,0.05,38,74100,74100
2024-12-12,1949.0,1949.0,1949.0,1949.0,-0.05,39,76011,76011
2024-12-10,1950.0,1950.0,1950.0,1950.0,0.0,100,195000,195000
2024-12-06,1950.0,1950.0,1950.0,1950.0,2.61,35,68250,68250
2024-12-05,1910.0,1910.0,1899.0,1900.4,2.45,202,383881,383881
2024-12-04,1855.0,1855.0,1855.0,1855.0,2.98,436,808780,808780
2024-11-28,1800.0,1899.0,1800.0,1801.34,-2.79,841,1514930,1514930
2024-11-25,1835.0,1900.0,1835.0,1853.08,-1.94,165,305759,305759
2024-11-22,1890.0,1890.0,1850.0,1889.74,-0.03,151,285350,285350
2024-11-21,1900.0,1900.0,1890.0,1890.27,-2.56,1182,2234300,2234300
2024-11-19,1940.0,1940.0,1940.0,1940.0,0.0,7,13580,13580
2024-11-18,1940.0,1940.0,1940.0,1940.0,2.11,20,38800,38800
2024-11-14,1900.0,1900.0,1900.0,1900.0,-2.56,2267,4307300,4307300
2024-11-08,1950.0,1950.0,1950.0,1950.0,0.26,175,341250,341250
2024-10-30,1945.0,1945.0,1945.0,1945.0,-0.05,125,243125,243125
2024-10-29,1946.0,1946.0,1946.0,1946.0,0.0,91,177086,177086
2024-10-28,1946.0,1946.0,1946.0,1946.0,-2.99,110,214060,214060
2024-10-18,2006.0,2006.0,2006.0,2006.0,0.0,3,6018,6018
2024-10-17,2006.0,2006.0,2006.0,2006.0,3.53,6,12036,12036
2024-10-16,1900.0,1946.0,1900.0,1937.64,-0.43,11,21314,21314
2024-10-15,1946.0,1946.0,1946.0,1946.0,-2.99,300,583800,583800
2024-10-14,2006.0,2006.0,2006.0,2006.0,8.43,10,20060,20060
2024-10-10,1850.0,1850.0,1850.0,1850.0,-7.41,165,305250,305250
2024-10-09,1998.0,1998.0,1998.0,1998.0,0.0,10,19980,19980
2024-10-08,1998.0,1998.0,1998.0,1998.0,2.46,14,27972,27972
2024-10-04,1950.0,1950.0,1950.0,1950.0,0.1,16,31200,31200
2024-09-25,1920.0,1972.0,1920.0,1947.97,-1.22,760,1480460,1480460
