record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-16,7050.0,7050.0,7050.0,7050.0,0.71,20,141000,141000
2025-01-14,7000.0,7000.0,7000.0,7000.0,-0.71,7,49000,49000
2025-01-10,7050.0,7050.0,7050.0,7050.0,0.52,1,7050,7050
2025-01-09,7050.0,7050.0,7000.0,7013.63,0.9,27,189368,189368
2025-01-08,6951.0,6951.0,6951.0,6951.0,-2.0,50,347550,347550
2024-12-30,7200.0,7200.0,7000.0,7092.86,-0.64,56,397200,397200
2024-12-27,7150.0,7150.0,7000.0,7138.89,-0.16,27,192750,192750
2024-12-26,7150.0,7150.0,7150.0,7150.0,0.0,49,350350,350350
2024-12-25,7150.0,7150.0,7150.0,7150.0,0.46,25,178750,178750
2024-12-24,7200.0,7200.0,7110.0,7116.92,0.24,13,92520,92520
2024-12-23,7100.0,7100.0,7100.0,7100.0,-1.39,10,71000,71000
2024-12-19,7200.0,7200.0,7200.0,7200.0,-2.03,47,338400,338400
2024-12-13,7349.0,7349.0,7349.0,7349.0,0.0,5,36745,36745
2024-12-11,7349.0,7349.0,7349.0,7349.0,0.0,25,183725,183725
2024-12-10,7349.0,7349.0,7349.0,7349.0,0.05,39,286611,286611
2024-12-06,7349.0,7350.0,7200.0,7345.18,2.37,1051,7719786,7719786
2024-12-05,7200.0,7200.0,7150.0,7175.0,1.06,40,287000,287000
2024-12-02,7100.0,7100.0,7100.0,7100.0,0.0,20,142000,142000
2024-11-28,7100.0,7100.0,7100.0,7100.0,0.0,19,134900,134900
2024-11-27,7100.0,7100.0,7100.0,7100.0,0.0,100,710000,710000
2024-11-25,7100.0,7100.0,7100.0,7100.0,-0.14,10,71000,71000
2024-11-21,7110.0,7110.0,7110.0,7110.0,-0.21,5,35550,35550
2024-11-20,7125.0,7125.0,7125.0,7125.0,-0.35,15,106875,106875
2024-11-19,7150.0,7150.0,7150.0,7150.0,-0.77,15,107250,107250
2024-11-15,7250.0,7250.0,7200.0,7205.66,-0.25,53,381900,381900
2024-11-14,7250.0,7250.0,7200.0,7223.39,0.32,62,447850,447850
2024-11-13,7200.0,7200.0,7200.0,7200.0,2.86,57,410400,410400
2024-11-12,7000.0,7000.0,7000.0,7000.0,-2.78,5,35000,35000
2024-11-05,7200.0,7200.0,7200.0,7200.0,0.88,10,72000,72000
2024-11-04,7285.0,7285.0,7100.0,7137.0,-2.02,10,71370,71370
2024-11-01,7284.0,7284.0,7284.0,7284.0,2.59,7,50988,50988
2024-10-21,7100.0,7100.0,7100.0,7100.0,-1.39,20,142000,142000
2024-10-17,7200.0,7200.0,7200.0,7200.0,0.0,11,79200,79200
2024-10-16,7200.0,7200.0,7200.0,7200.0,0.0,130,936000,936000
2024-10-15,7200.0,7200.0,7200.0,7200.0,-1.22,685,4932000,4932000
2024-10-01,7289.0,7289.0,7289.0,7289.0,1.96,10,72890,72890
2024-09-30,7150.0,7150.0,7149.0,7149.13,-0.71,287,2051800,2051800
2024-09-26,7200.0,7200.0,7200.0,7200.0,2.86,10,72000,72000
2024-09-25,7000.0,7000.0,7000.0,7000.0,-0.3,53,371000,371000
2024-09-24,7000.0,7030.0,7000.0,7020.91,-1.81,33,231690,231690
2024-09-19,7150.0,7150.0,7150.0,7150.0,1.71,500,3575000,3575000
2024-09-18,7030.0,7030.0,7030.0,7030.0,0.12,36,253080,253080
2024-09-16,7050.0,7050.0,7000.0,7021.43,0.18,35,245750,245750
2024-09-13,7000.0,7149.0,7000.0,7008.47,0.46,174,1219473,1219473
2024-09-12,7000.0,7000.0,6970.0,6976.38,0.09,127,886000,886000
2024-09-11,6970.0,6970.0,6970.0,6970.0,-0.14,50,348500,348500
2024-09-06,6980.0,6980.0,6980.0,6980.0,-0.03,80,558400,558400
2024-08-27,7000.0,7000.0,6900.0,6982.35,1.93,34,237400,237400
2024-08-22,6850.0,6850.0,6850.0,6850.0,-0.72,30,205500,205500
2024-08-20,6900.0,6900.0,6900.0,6900.0,-0.73,50,345000,345000
2024-08-15,6951.0,6951.0,6950.0,6950.72,0.01,36,250226,250226
2024-08-14,6950.0,6950.0,6950.0,6950.0,-0.56,59,410050,410050
2024-08-12,6950.0,7000.0,6950.0,6989.0,1.11,50,349450,349450
2024-08-09,6900.0,7100.0,6900.0,6912.5,-1.24,16,110600,110600
2024-08-08,6999.0,6999.0,6999.0,6999.0,-0.01,20,139980,139980
2024-08-07,7000.0,7000.0,7000.0,7000.0,0.0,62,434000,434000
2024-08-05,7000.0,7000.0,7000.0,7000.0,-2.2,40,280000,280000
2024-08-01,7150.0,7190.0,7150.0,7157.75,-0.45,71,508200,508200
2024-07-31,7190.0,7190.0,7190.0,7190.0,0.0,50,359500,359500
2024-07-30,7190.0,7190.0,7190.0,7190.0,0.0,50,359500,359500
2024-07-29,7200.0,7200.0,7180.0,7190.22,0.14,92,661500,661500
2024-07-26,7180.0,7180.0,7180.0,7180.0,-0.26,60,430800,430800
2024-07-25,7199.0,7199.0,7199.0,7199.0,-0.01,5,35995,35995
2024-07-24,7200.0,7200.0,7200.0,7200.0,0.0,10,72000,72000
2024-07-23,7200.0,7200.0,7200.0,7200.0,0.0,4,28800,28800
2024-07-22,7200.0,7200.0,7200.0,7200.0,0.7,20,144000,144000
2024-07-18,7150.0,7150.0,7150.0,7150.0,2.88,3,21450,21450
2024-07-17,6950.0,6950.0,6950.0,6950.0,-0.71,32,222400,222400
2024-07-16,7000.0,7000.0,7000.0,7000.0,0.36,10,70000,70000
2024-07-11,7000.0,7000.0,6950.0,6975.0,0.36,20,139500,139500
2024-07-05,6950.0,6950.0,6950.0,6950.0,0.08,40,278000,278000
2024-07-04,6900.0,7000.0,6900.0,6944.44,0.64,54,375000,375000
2024-07-01,6900.0,6900.0,6900.0,6900.0,2.22,10,69000,69000
2024-06-28,6750.0,6750.0,6750.0,6750.0,0.75,20,135000,135000
2024-06-26,6700.0,6700.0,6700.0,6700.0,-1.47,6,40200,40200
2024-06-12,6800.0,6800.0,6800.0,6800.0,1.49,165,1122000,1122000
2024-06-10,6700.0,6700.0,6700.0,6700.0,0.0,101,676700,676700
2024-06-06,6700.0,6700.0,6700.0,6700.0,-0.74,40,268000,268000
2024-06-05,6750.0,6750.0,6750.0,6750.0,-1.15,45,303750,303750
2024-06-03,6800.0,6850.0,6800.0,6828.57,-1.61,70,478000,478000
2024-05-30,6940.0,6940.0,6940.0,6940.0,-0.86,25,173500,173500
2024-05-23,7000.0,7000.0,7000.0,7000.0,2.16,2,14000,14000
2024-05-21,6850.0,6950.0,6850.0,6851.96,-1.69,510,3494500,3494500
2024-05-16,6970.0,6970.0,6970.0,6970.0,-2.99,10,69700,69700
2024-05-15,7200.0,7200.0,7100.0,7184.62,0.34,325,2335000,2335000
2024-05-14,7160.0,7161.0,7160.0,7160.08,-1.24,100,716008,716008
2024-05-10,7250.0,7250.0,7248.0,7249.71,0.5,244,1768930,1768930
2024-05-09,7245.0,7245.0,7200.0,7213.31,1.31,71,512145,512145
2024-05-07,7119.0,7120.0,7119.0,7119.71,-1.58,55,391584,391584
2024-05-02,7240.0,7240.0,7220.0,7234.29,0.36,119,860880,860880
2024-04-30,7220.0,7220.0,7200.0,7208.42,0.23,190,1369600,1369600
2024-04-29,7200.0,7220.0,7150.0,7191.58,-0.18,377,2711227,13515407
2024-04-26,7220.0,7220.0,7200.0,7204.9,0.07,102,734900,734900
2024-04-25,7200.0,7200.0,7200.0,7200.0,0.92,23,165600,165600
2024-04-23,7120.0,7143.0,7120.0,7134.5,-1.18,100,713450,713450
2024-04-22,7220.0,7220.0,7220.0,7220.0,1.53,20,144400,144400
2024-04-19,7111.0,7111.0,7111.0,7111.0,-1.1,10,71110,71110
2024-04-18,7190.0,7190.0,7190.0,7190.0,0.0,25,179750,179750
2024-04-17,7190.0,7190.0,7190.0,7190.0,0.0,21,150990,150990
2024-04-16,7190.0,7190.0,7190.0,7190.0,0.0,4,28760,28760
2024-04-09,7190.0,7190.0,7190.0,7190.0,0.0,68,488920,488920
