record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2025-01-13,11002.0,11002.0,11002.0,11002.0,0.02,5,55010,55010
2024-12-20,11000.0,11000.0,11000.0,11000.0,7.3,4,44000,3509000
2024-12-17,10252.0,10252.0,10252.0,10252.0,-6.8,10,102520,102520
2024-12-10,11000.0,11000.0,11000.0,11000.0,8.9,30,330000,330000
2024-11-29,10101.0,10101.0,10101.0,10101.0,0.01,113,1141413,1141413
2024-11-18,10100.0,10100.0,10100.0,10100.0,-0.01,10,101000,101000
2024-10-31,10101.0,10101.0,10101.0,10101.0,0.0,5,50505,50505
2024-10-22,10101.0,10101.0,10101.0,10101.0,-0.15,5,50505,50505
2024-09-06,10116.0,10116.0,10116.0,10116.0,0.15,5,50580,50580
2024-09-03,10101.0,10101.0,10101.0,10101.0,0.01,10,101010,101010
2024-08-29,10100.0,10100.0,10100.0,10100.0,0.88,5,50500,50500
2024-08-14,10012.0,10012.0,10012.0,10012.0,0.01,10,100120,100120
2024-07-22,10011.0,10011.0,10011.0,10011.0,0.11,10,100110,100110
2024-07-16,10000.0,10000.0,10000.0,10000.0,-9.08,15,150000,150000
2024-06-07,10999.0,10999.0,10999.0,10999.0,9.88,5,54995,54995
2024-04-12,10010.0,10010.0,10010.0,10010.0,0.09,10,100100,100100
2024-04-08,10001.0,10001.0,10001.0,10001.0,0.01,20,200020,200020
2024-03-21,10000.0,10000.0,10000.0,10000.0,0.0,62,620000,620000
2024-03-12,10000.0,10000.0,10000.0,10000.0,0.0,30,300000,300000
2024-03-07,10000.0,10000.0,10000.0,10000.0,0.0,400,4000000,4000000
2024-03-05,10000.0,10000.0,10000.0,10000.0,0.0,106,1060000,1060000
2024-02-23,10000.0,10000.0,10000.0,10000.0,-0.02,110,1100000,1100000
2024-02-22,10002.0,10002.0,10002.0,10002.0,-6.52,30,300060,300060
2023-12-13,10700.0,10700.0,10700.0,10700.0,-1.38,9,96300,96300
2023-09-06,10850.0,10850.0,10850.0,10850.0,-1.36,30,325500,325500
2023-07-18,11000.0,11000.0,11000.0,11000.0,0.0,50,550000,550000
2023-07-12,11000.0,11000.0,11000.0,11000.0,0.0,115,1265000,1265000
2023-06-22,11000.0,11000.0,11000.0,11000.0,0.0,105,1155000,1155000
2023-06-12,11000.0,11000.0,11000.0,11000.0,0.0,95,1045000,1045000
2023-05-17,11000.0,11000.0,11000.0,11000.0,0.0,20,220000,220000
2023-05-09,11000.0,11000.0,11000.0,11000.0,0.0,20,220000,220000
2023-05-05,11000.0,11000.0,11000.0,11000.0,0.0,30,330000,14572500
2023-04-20,11000.0,11000.0,11000.0,11000.0,0.0,10,110000,110000
2023-03-23,11000.0,11000.0,11000.0,11000.0,0.0,8,88000,88000
2023-03-16,11000.0,11000.0,11000.0,11000.0,0.0,30,330000,330000
2023-02-20,11000.0,11000.0,11000.0,11000.0,0.0,20,220000,220000
2023-02-17,11000.0,11000.0,11000.0,11000.0,-0.01,65,715000,715000
2023-02-16,11001.0,11001.0,11001.0,11001.0,0.01,20,220020,220020
2023-02-13,11000.0,11000.0,11000.0,11000.0,-9.84,10,110000,110000
2022-06-13,12200.0,12200.0,12200.0,12200.0,0.0,48,585600,585600
2022-06-03,12200.0,12200.0,12200.0,12200.0,0.41,33,402600,402600
2022-05-23,12150.0,12150.0,12150.0,12150.0,0.0,30,364500,364500
2022-04-20,12150.0,12150.0,12150.0,12150.0,0.0,118,1433700,1433700
2022-04-19,12150.0,12150.0,12150.0,12150.0,0.0,10,121500,121500
2022-03-28,12150.0,12150.0,12150.0,12150.0,0.0,65,789750,789750
2021-12-14,12150.0,12150.0,12150.0,12150.0,-10.01,180,2187000,2187000
2021-09-28,13502.0,13502.0,13502.0,13502.0,0.0,9,121518,121518
2021-09-27,13502.0,13502.0,13502.0,13502.0,0.0,6,81012,81012
2021-09-21,13502.0,13502.0,13502.0,13502.0,0.0,5,67510,67510
2021-09-14,13502.0,13502.0,13502.0,13502.0,0.0,10,135020,135020
